PARAMETER,Scenario,REGION,TECHNOLOGY,FUEL,EMISSION,MODE_OF_OPERATION,YEAR,TIMESLICE,SEASON,DAYTYPE,DAILYTIMEBRACKET,STORAGE,Value
FixedCost,BAU,CR,BACKSTOP_PS,,,,2015,,,,,,999999
FixedCost,BAU,CR,BACKSTOP_PS,,,,2016,,,,,,999999
FixedCost,BAU,CR,BACKSTOP_PS,,,,2017,,,,,,999999
FixedCost,BAU,CR,BACKSTOP_PS,,,,2018,,,,,,999999
FixedCost,BAU,CR,BACKSTOP_PS,,,,2019,,,,,,999999
FixedCost,BAU,CR,BACKSTOP_PS,,,,2020,,,,,,999999
FixedCost,BAU,CR,BACKSTOP_PS,,,,2021,,,,,,999999
FixedCost,BAU,CR,BACKSTOP_PS,,,,2022,,,,,,999999
FixedCost,BAU,CR,BACKSTOP_PS,,,,2023,,,,,,999999
FixedCost,BAU,CR,BACKSTOP_PS,,,,2024,,,,,,999999
FixedCost,BAU,CR,BACKSTOP_PS,,,,2025,,,,,,999999
FixedCost,BAU,CR,BACKSTOP_PS,,,,2026,,,,,,999999
FixedCost,BAU,CR,BACKSTOP_PS,,,,2027,,,,,,999999
FixedCost,BAU,CR,BACKSTOP_PS,,,,2028,,,,,,999999
FixedCost,BAU,CR,BACKSTOP_PS,,,,2029,,,,,,999999
FixedCost,BAU,CR,BACKSTOP_PS,,,,2030,,,,,,999999
FixedCost,BAU,CR,BACKSTOP_PS,,,,2031,,,,,,999999
FixedCost,BAU,CR,BACKSTOP_PS,,,,2032,,,,,,999999
FixedCost,BAU,CR,BACKSTOP_PS,,,,2033,,,,,,999999
FixedCost,BAU,CR,BACKSTOP_PS,,,,2034,,,,,,999999
FixedCost,BAU,CR,BACKSTOP_PS,,,,2035,,,,,,999999
FixedCost,BAU,CR,BACKSTOP_PS,,,,2036,,,,,,999999
FixedCost,BAU,CR,BACKSTOP_PS,,,,2037,,,,,,999999
FixedCost,BAU,CR,BACKSTOP_PS,,,,2038,,,,,,999999
FixedCost,BAU,CR,BACKSTOP_PS,,,,2039,,,,,,999999
FixedCost,BAU,CR,BACKSTOP_PS,,,,2040,,,,,,999999
FixedCost,BAU,CR,BACKSTOP_PS,,,,2041,,,,,,999999
FixedCost,BAU,CR,BACKSTOP_PS,,,,2042,,,,,,999999
FixedCost,BAU,CR,BACKSTOP_PS,,,,2043,,,,,,999999
FixedCost,BAU,CR,BACKSTOP_PS,,,,2044,,,,,,999999
FixedCost,BAU,CR,BACKSTOP_PS,,,,2045,,,,,,999999
FixedCost,BAU,CR,BACKSTOP_PS,,,,2046,,,,,,999999
FixedCost,BAU,CR,BACKSTOP_PS,,,,2047,,,,,,999999
FixedCost,BAU,CR,BACKSTOP_PS,,,,2048,,,,,,999999
FixedCost,BAU,CR,BACKSTOP_PS,,,,2049,,,,,,999999
FixedCost,BAU,CR,BACKSTOP_PS,,,,2050,,,,,,999999
FixedCost,BAU,CR,BACKSTOP_TS,,,,2015,,,,,,999999
FixedCost,BAU,CR,BACKSTOP_TS,,,,2016,,,,,,999999
FixedCost,BAU,CR,BACKSTOP_TS,,,,2017,,,,,,999999
FixedCost,BAU,CR,BACKSTOP_TS,,,,2018,,,,,,999999
FixedCost,BAU,CR,BACKSTOP_TS,,,,2019,,,,,,999999
FixedCost,BAU,CR,BACKSTOP_TS,,,,2020,,,,,,999999
FixedCost,BAU,CR,BACKSTOP_TS,,,,2021,,,,,,999999
FixedCost,BAU,CR,BACKSTOP_TS,,,,2022,,,,,,999999
FixedCost,BAU,CR,BACKSTOP_TS,,,,2023,,,,,,999999
FixedCost,BAU,CR,BACKSTOP_TS,,,,2024,,,,,,999999
FixedCost,BAU,CR,BACKSTOP_TS,,,,2025,,,,,,999999
FixedCost,BAU,CR,BACKSTOP_TS,,,,2026,,,,,,999999
FixedCost,BAU,CR,BACKSTOP_TS,,,,2027,,,,,,999999
