PARAMETER,Scenario,REGION,TECHNOLOGY,FUEL,EMISSION,MODE_OF_OPERATION,YEAR,TIMESLICE,SEASON,DAYTYPE,DAILYTIMEBRACKET,STORAGE,Value
OperationalLife,BAU,CR,BACKSTOP_PS,,,,,,,,,,100
OperationalLife,BAU,CR,BACKSTOP_TS,,,,,,,,,,100
OperationalLife,BAU,CR,DBIO_El,,,,,,,,,,1
OperationalLife,BAU,CR,DDSL_El,,,,,,,,,,1
OperationalLife,BAU,CR,DDSL_HF,,,,,,,,,,1
OperationalLife,BAU,CR,DDSL_LF,,,,,,,,,,1
OperationalLife,BAU,CR,DDSL_Pr,,,,,,,,,,1
OperationalLife,BAU,CR,DDSL_Pu,,,,,,,,,,1
OperationalLife,BAU,CR,DELE_HF,,,,,,,,,,1
OperationalLife,BAU,CR,DELE_LF,,,,,,,,,,1
OperationalLife,BAU,CR,DELE_Pr,,,,,,,,,,1
OperationalLife,BAU,CR,DELE_Pu,,,,,,,,,,1
OperationalLife,BAU,CR,DGSL_LF,,,,,,,,,,1
OperationalLife,BAU,CR,DGSL_Pr,,,,,,,,,,1
OperationalLife,BAU,CR,DGSL_Pu,,,,,,,,,,1
OperationalLife,BAU,CR,DHYD_HF,,,,,,,,,,1
OperationalLife,BAU,CR,DHYD_Pu,,,,,,,,,,1
OperationalLife,BAU,CR,DIST_DSL,,,,,,,,,,1
OperationalLife,BAU,CR,DIST_FOI,,,,,,,,,,1
OperationalLife,BAU,CR,DIST_FWO,,,,,,,,,,1
OperationalLife,BAU,CR,DIST_GSL,,,,,,,,,,1
OperationalLife,BAU,CR,DIST_HYD,,,,,,,,,,1
OperationalLife,BAU,CR,DIST_JFUEL,,,,,,,,,,1
OperationalLife,BAU,CR,DIST_LPG,,,,,,,,,,10
OperationalLife,BAU,CR,DIST_NG,,,,,,,,,,1
OperationalLife,BAU,CR,DIST_PCO,,,,,,,,,,1
OperationalLife,BAU,CR,DLPG_HF,,,,,,,,,,1
OperationalLife,BAU,CR,DLPG_LF,,,,,,,,,,1
OperationalLife,BAU,CR,DLPG_Pr,,,,,,,,,,1
OperationalLife,BAU,CR,DLPG_Pu,,,,,,,,,,1
