PARAMETER,Scenario,REGION,TECHNOLOGY,FUEL,EMISSION,MODE_OF_OPERATION,YEAR,TIMESLICE,SEASON,DAYTYPE,DAILYTIMEBRACKET,STORAGE,Value
TotalAnnualMinCapacityInvestment,BAU,CR,PPGEO002,,,,2015,,,,,,0
TotalAnnualMinCapacityInvestment,BAU,CR,PPGEO002,,,,2016,,,,,,0
TotalAnnualMinCapacityInvestment,BAU,CR,PPGEO002,,,,2017,,,,,,0
TotalAnnualMinCapacityInvestment,BAU,CR,PPGEO002,,,,2018,,,,,,0
TotalAnnualMinCapacityInvestment,BAU,CR,PPGEO002,,,,2019,,,,,,0.055
TotalAnnualMinCapacityInvestment,BAU,CR,PPGEO002,,,,2020,,,,,,0
TotalAnnualMinCapacityInvestment,BAU,CR,PPGEO002,,,,2021,,,,,,0
TotalAnnualMinCapacityInvestment,BAU,CR,PPGEO002,,,,2022,,,,,,0
TotalAnnualMinCapacityInvestment,BAU,CR,PPGEO002,,,,2023,,,,,,0
TotalAnnualMinCapacityInvestment,BAU,CR,PPGEO002,,,,2024,,,,,,0
TotalAnnualMinCapacityInvestment,BAU,CR,PPGEO002,,,,2025,,,,,,0
TotalAnnualMinCapacityInvestment,BAU,CR,PPGEO002,,,,2026,,,,,,0.055
TotalAnnualMinCapacityInvestment,BAU,CR,PPGEO002,,,,2027,,,,,,0
TotalAnnualMinCapacityInvestment,BAU,CR,PPGEO002,,,,2028,,,,,,0
TotalAnnualMinCapacityInvestment,BAU,CR,PPGEO002,,,,2029,,,,,,0
TotalAnnualMinCapacityInvestment,BAU,CR,PPGEO002,,,,2030,,,,,,0.055
TotalAnnualMinCapacityInvestment,BAU,CR,PPGEO002,,,,2031,,,,,,0
TotalAnnualMinCapacityInvestment,BAU,CR,PPGEO002,,,,2032,,,,,,0
TotalAnnualMinCapacityInvestment,BAU,CR,PPGEO002,,,,2033,,,,,,0
TotalAnnualMinCapacityInvestment,BAU,CR,PPGEO002,,,,2034,,,,,,0
TotalAnnualMinCapacityInvestment,BAU,CR,PPGEO002,,,,2035,,,,,,0
TotalAnnualMinCapacityInvestment,BAU,CR,PPGEO002,,,,2036,,,,,,0
TotalAnnualMinCapacityInvestment,BAU,CR,PPGEO002,,,,2037,,,,,,0
TotalAnnualMinCapacityInvestment,BAU,CR,PPGEO002,,,,2038,,,,,,0
TotalAnnualMinCapacityInvestment,BAU,CR,PPGEO002,,,,2039,,,,,,0
TotalAnnualMinCapacityInvestment,BAU,CR,PPGEO002,,,,2040,,,,,,0
TotalAnnualMinCapacityInvestment,BAU,CR,PPGEO002,,,,2041,,,,,,0
TotalAnnualMinCapacityInvestment,BAU,CR,PPGEO002,,,,2042,,,,,,0
TotalAnnualMinCapacityInvestment,BAU,CR,PPGEO002,,,,2043,,,,,,0
TotalAnnualMinCapacityInvestment,BAU,CR,PPGEO002,,,,2044,,,,,,0
TotalAnnualMinCapacityInvestment,BAU,CR,PPGEO002,,,,2045,,,,,,0
TotalAnnualMinCapacityInvestment,BAU,CR,PPGEO002,,,,2046,,,,,,0
TotalAnnualMinCapacityInvestment,BAU,CR,PPGEO002,,,,2047,,,,,,0
TotalAnnualMinCapacityInvestment,BAU,CR,PPGEO002,,,,2048,,,,,,0
TotalAnnualMinCapacityInvestment,BAU,CR,PPGEO002,,,,2049,,,,,,0
TotalAnnualMinCapacityInvestment,BAU,CR,PPGEO002,,,,2050,,,,,,0
TotalAnnualMinCapacityInvestment,BAU,CR,PPHROR002,,,,2015,,,,,,0
TotalAnnualMinCapacityInvestment,BAU,CR,PPHROR002,,,,2016,,,,,,0
TotalAnnualMinCapacityInvestment,BAU,CR,PPHROR002,,,,2017,,,,,,0
TotalAnnualMinCapacityInvestment,BAU,CR,PPHROR002,,,,2018,,,,,,0
TotalAnnualMinCapacityInvestment,BAU,CR,PPHROR002,,,,2019,,,,,,0
TotalAnnualMinCapacityInvestment,BAU,CR,PPHROR002,,,,2020,,,,,,0.019
TotalAnnualMinCapacityInvestment,BAU,CR,PPHROR002,,,,2021,,,,,,0
TotalAnnualMinCapacityInvestment,BAU,CR,PPHROR002,,,,2022,,,,,,0
TotalAnnualMinCapacityInvestment,BAU,CR,PPHROR002,,,,2023,,,,,,0
TotalAnnualMinCapacityInvestment,BAU,CR,PPHROR002,,,,2024,,,,,,0
TotalAnnualMinCapacityInvestment,BAU,CR,PPHROR002,,,,2025,,,,,,0
TotalAnnualMinCapacityInvestment,BAU,CR,PPHROR002,,,,2026,,,,,,0
TotalAnnualMinCapacityInvestment,BAU,CR,PPHROR002,,,,2027,,,,,,0
TotalAnnualMinCapacityInvestment,BAU,CR,PPHROR002,,,,2028,,,,,,0
TotalAnnualMinCapacityInvestment,BAU,CR,PPHROR002,,,,2029,,,,,,0
TotalAnnualMinCapacityInvestment,BAU,CR,PPHROR002,,,,2030,,,,,,0
TotalAnnualMinCapacityInvestment,BAU,CR,PPHROR002,,,,2031,,,,,,0
TotalAnnualMinCapacityInvestment,BAU,CR,PPHROR002,,,,2032,,,,,,0
TotalAnnualMinCapacityInvestment,BAU,CR,PPHROR002,,,,2033,,,,,,0
TotalAnnualMinCapacityInvestment,BAU,CR,PPHROR002,,,,2034,,,,,,0
