PARAMETER,Scenario,REGION,TECHNOLOGY,FUEL,EMISSION,MODE_OF_OPERATION,YEAR,TIMESLICE,SEASON,DAYTYPE,DAILYTIMEBRACKET,STORAGE,Value
TotalTechnologyAnnualActivityLowerLimit,BAU,CR,Techs_4WD,,,,2015,,,,,,4.3457
TotalTechnologyAnnualActivityLowerLimit,BAU,CR,Techs_4WD,,,,2016,,,,,,4.599
TotalTechnologyAnnualActivityLowerLimit,BAU,CR,Techs_4WD,,,,2017,,,,,,4.7274
TotalTechnologyAnnualActivityLowerLimit,BAU,CR,Techs_4WD,,,,2018,,,,,,4.8665
TotalTechnologyAnnualActivityLowerLimit,BAU,CR,Techs_4WD,,,,2019,,,,,,5.0039
TotalTechnologyAnnualActivityLowerLimit,BAU,CR,Techs_4WD,,,,2020,,,,,,5.1484
TotalTechnologyAnnualActivityLowerLimit,BAU,CR,Techs_4WD,,,,2021,,,,,,5.3023
TotalTechnologyAnnualActivityLowerLimit,BAU,CR,Techs_4WD,,,,2022,,,,,,5.4298
TotalTechnologyAnnualActivityLowerLimit,BAU,CR,Techs_4WD,,,,2023,,,,,,5.5579
TotalTechnologyAnnualActivityLowerLimit,BAU,CR,Techs_4WD,,,,2024,,,,,,5.7027
TotalTechnologyAnnualActivityLowerLimit,BAU,CR,Techs_4WD,,,,2025,,,,,,5.8665
TotalTechnologyAnnualActivityLowerLimit,BAU,CR,Techs_4WD,,,,2026,,,,,,5.98
TotalTechnologyAnnualActivityLowerLimit,BAU,CR,Techs_4WD,,,,2027,,,,,,6.1367
TotalTechnologyAnnualActivityLowerLimit,BAU,CR,Techs_4WD,,,,2028,,,,,,6.2885
TotalTechnologyAnnualActivityLowerLimit,BAU,CR,Techs_4WD,,,,2029,,,,,,6.4018
TotalTechnologyAnnualActivityLowerLimit,BAU,CR,Techs_4WD,,,,2030,,,,,,6.541
TotalTechnologyAnnualActivityLowerLimit,BAU,CR,Techs_4WD,,,,2031,,,,,,6.6793
TotalTechnologyAnnualActivityLowerLimit,BAU,CR,Techs_4WD,,,,2032,,,,,,6.8206
TotalTechnologyAnnualActivityLowerLimit,BAU,CR,Techs_4WD,,,,2033,,,,,,6.962
TotalTechnologyAnnualActivityLowerLimit,BAU,CR,Techs_4WD,,,,2034,,,,,,7.0993
TotalTechnologyAnnualActivityLowerLimit,BAU,CR,Techs_4WD,,,,2035,,,,,,7.2349
TotalTechnologyAnnualActivityLowerLimit,BAU,CR,Techs_4WD,,,,2036,,,,,,7.3763
TotalTechnologyAnnualActivityLowerLimit,BAU,CR,Techs_4WD,,,,2037,,,,,,7.5153
TotalTechnologyAnnualActivityLowerLimit,BAU,CR,Techs_4WD,,,,2038,,,,,,7.6549
TotalTechnologyAnnualActivityLowerLimit,BAU,CR,Techs_4WD,,,,2039,,,,,,7.7988
TotalTechnologyAnnualActivityLowerLimit,BAU,CR,Techs_4WD,,,,2040,,,,,,7.9354
TotalTechnologyAnnualActivityLowerLimit,BAU,CR,Techs_4WD,,,,2041,,,,,,8.078
TotalTechnologyAnnualActivityLowerLimit,BAU,CR,Techs_4WD,,,,2042,,,,,,8.2103
TotalTechnologyAnnualActivityLowerLimit,BAU,CR,Techs_4WD,,,,2043,,,,,,8.3518
TotalTechnologyAnnualActivityLowerLimit,BAU,CR,Techs_4WD,,,,2044,,,,,,8.4984
TotalTechnologyAnnualActivityLowerLimit,BAU,CR,Techs_4WD,,,,2045,,,,,,8.6426
TotalTechnologyAnnualActivityLowerLimit,BAU,CR,Techs_4WD,,,,2046,,,,,,8.768
TotalTechnologyAnnualActivityLowerLimit,BAU,CR,Techs_4WD,,,,2047,,,,,,8.9096
TotalTechnologyAnnualActivityLowerLimit,BAU,CR,Techs_4WD,,,,2048,,,,,,9.0714
TotalTechnologyAnnualActivityLowerLimit,BAU,CR,Techs_4WD,,,,2049,,,,,,9.191
TotalTechnologyAnnualActivityLowerLimit,BAU,CR,Techs_4WD,,,,2050,,,,,,9.3231
TotalTechnologyAnnualActivityLowerLimit,BAU,CR,Techs_Buses,,,,2015,,,,,,0.4679
TotalTechnologyAnnualActivityLowerLimit,BAU,CR,Techs_Buses,,,,2016,,,,,,0.4892
TotalTechnologyAnnualActivityLowerLimit,BAU,CR,Techs_Buses,,,,2017,,,,,,0.5045
TotalTechnologyAnnualActivityLowerLimit,BAU,CR,Techs_Buses,,,,2018,,,,,,0.5159
TotalTechnologyAnnualActivityLowerLimit,BAU,CR,Techs_Buses,,,,2019,,,,,,0.5282
TotalTechnologyAnnualActivityLowerLimit,BAU,CR,Techs_Buses,,,,2020,,,,,,0.5433
TotalTechnologyAnnualActivityLowerLimit,BAU,CR,Techs_Buses,,,,2021,,,,,,0.5534
TotalTechnologyAnnualActivityLowerLimit,BAU,CR,Techs_Buses,,,,2022,,,,,,0.567
TotalTechnologyAnnualActivityLowerLimit,BAU,CR,Techs_Buses,,,,2023,,,,,,0.5812
TotalTechnologyAnnualActivityLowerLimit,BAU,CR,Techs_Buses,,,,2024,,,,,,0.5922
TotalTechnologyAnnualActivityLowerLimit,BAU,CR,Techs_Buses,,,,2025,,,,,,0.6058
TotalTechnologyAnnualActivityLowerLimit,BAU,CR,Techs_Buses,,,,2026,,,,,,0.6199
TotalTechnologyAnnualActivityLowerLimit,BAU,CR,Techs_Buses,,,,2027,,,,,,0.6309
TotalTechnologyAnnualActivityLowerLimit,BAU,CR,Techs_Buses,,,,2028,,,,,,0.642
TotalTechnologyAnnualActivityLowerLimit,BAU,CR,Techs_Buses,,,,2029,,,,,,0.6564
TotalTechnologyAnnualActivityLowerLimit,BAU,CR,Techs_Buses,,,,2030,,,,,,0.6699
TotalTechnologyAnnualActivityLowerLimit,BAU,CR,Techs_Buses,,,,2031,,,,,,0.6833
TotalTechnologyAnnualActivityLowerLimit,BAU,CR,Techs_Buses,,,,2032,,,,,,0.6947
TotalTechnologyAnnualActivityLowerLimit,BAU,CR,Techs_Buses,,,,2033,,,,,,0.7086
