PARAMETER,Scenario,REGION,TECHNOLOGY,FUEL,EMISSION,MODE_OF_OPERATION,YEAR,TIMESLICE,SEASON,DAYTYPE,DAILYTIMEBRACKET,STORAGE,Value
YearSplit,BAU,,,,,,2015,DRY,,,,,0.42
YearSplit,BAU,,,,,,2015,RAIN,,,,,0.58
YearSplit,BAU,,,,,,2016,DRY,,,,,0.42
YearSplit,BAU,,,,,,2016,RAIN,,,,,0.58
YearSplit,BAU,,,,,,2017,DRY,,,,,0.42
YearSplit,BAU,,,,,,2017,RAIN,,,,,0.58
YearSplit,BAU,,,,,,2018,DRY,,,,,0.42
YearSplit,BAU,,,,,,2018,RAIN,,,,,0.58
YearSplit,BAU,,,,,,2019,DRY,,,,,0.42
YearSplit,BAU,,,,,,2019,RAIN,,,,,0.58
YearSplit,BAU,,,,,,2020,DRY,,,,,0.42
YearSplit,BAU,,,,,,2020,RAIN,,,,,0.58
YearSplit,BAU,,,,,,2021,DRY,,,,,0.42
YearSplit,BAU,,,,,,2021,RAIN,,,,,0.58
YearSplit,BAU,,,,,,2022,DRY,,,,,0.42
YearSplit,BAU,,,,,,2022,RAIN,,,,,0.58
YearSplit,BAU,,,,,,2023,DRY,,,,,0.42
YearSplit,BAU,,,,,,2023,RAIN,,,,,0.58
YearSplit,BAU,,,,,,2024,DRY,,,,,0.42
YearSplit,BAU,,,,,,2024,RAIN,,,,,0.58
YearSplit,BAU,,,,,,2025,DRY,,,,,0.42
YearSplit,BAU,,,,,,2025,RAIN,,,,,0.58
YearSplit,BAU,,,,,,2026,DRY,,,,,0.42
YearSplit,BAU,,,,,,2026,RAIN,,,,,0.58
YearSplit,BAU,,,,,,2027,DRY,,,,,0.42
YearSplit,BAU,,,,,,2027,RAIN,,,,,0.58
YearSplit,BAU,,,,,,2028,DRY,,,,,0.42
YearSplit,BAU,,,,,,2028,RAIN,,,,,0.58
YearSplit,BAU,,,,,,2029,DRY,,,,,0.42
YearSplit,BAU,,,,,,2029,RAIN,,,,,0.58
YearSplit,BAU,,,,,,2030,DRY,,,,,0.42
YearSplit,BAU,,,,,,2030,RAIN,,,,,0.58
YearSplit,BAU,,,,,,2031,DRY,,,,,0.42
YearSplit,BAU,,,,,,2031,RAIN,,,,,0.58
YearSplit,BAU,,,,,,2032,DRY,,,,,0.42
YearSplit,BAU,,,,,,2032,RAIN,,,,,0.58
YearSplit,BAU,,,,,,2033,DRY,,,,,0.42
YearSplit,BAU,,,,,,2033,RAIN,,,,,0.58
YearSplit,BAU,,,,,,2034,DRY,,,,,0.42
YearSplit,BAU,,,,,,2034,RAIN,,,,,0.58
YearSplit,BAU,,,,,,2035,DRY,,,,,0.42
YearSplit,BAU,,,,,,2035,RAIN,,,,,0.58
YearSplit,BAU,,,,,,2036,DRY,,,,,0.42
YearSplit,BAU,,,,,,2036,RAIN,,,,,0.58
YearSplit,BAU,,,,,,2037,DRY,,,,,0.42
YearSplit,BAU,,,,,,2037,RAIN,,,,,0.58
YearSplit,BAU,,,,,,2038,DRY,,,,,0.42
YearSplit,BAU,,,,,,2038,RAIN,,,,,0.58
YearSplit,BAU,,,,,,2039,DRY,,,,,0.42
YearSplit,BAU,,,,,,2039,RAIN,,,,,0.58
YearSplit,BAU,,,,,,2040,DRY,,,,,0.42
YearSplit,BAU,,,,,,2040,RAIN,,,,,0.58
YearSplit,BAU,,,,,,2041,DRY,,,,,0.42
YearSplit,BAU,,,,,,2041,RAIN,,,,,0.58
YearSplit,BAU,,,,,,2042,DRY,,,,,0.42
YearSplit,BAU,,,,,,2042,RAIN,,,,,0.58
YearSplit,BAU,,,,,,2043,DRY,,,,,0.42
YearSplit,BAU,,,,,,2043,RAIN,,,,,0.58
YearSplit,BAU,,,,,,2044,DRY,,,,,0.42
YearSplit,BAU,,,,,,2044,RAIN,,,,,0.58
YearSplit,BAU,,,,,,2045,DRY,,,,,0.42
YearSplit,BAU,,,,,,2045,RAIN,,,,,0.58
YearSplit,BAU,,,,,,2046,DRY,,,,,0.42
YearSplit,BAU,,,,,,2046,RAIN,,,,,0.58
YearSplit,BAU,,,,,,2047,DRY,,,,,0.42
YearSplit,BAU,,,,,,2047,RAIN,,,,,0.58
YearSplit,BAU,,,,,,2048,DRY,,,,,0.42
YearSplit,BAU,,,,,,2048,RAIN,,,,,0.58
YearSplit,BAU,,,,,,2049,DRY,,,,,0.42
YearSplit,BAU,,,,,,2049,RAIN,,,,,0.58
YearSplit,BAU,,,,,,2050,DRY,,,,,0.42
YearSplit,BAU,,,,,,2050,RAIN,,,,,0.58
