PARAMETER,Scenario,REGION,TECHNOLOGY,FUEL,EMISSION,MODE_OF_OPERATION,YEAR,TIMESLICE,SEASON,DAYTYPE,DAILYTIMEBRACKET,STORAGE,Value
AvailabilityFactor,BAU,CR,PPBIO001,,,,2015,,,,,,0.9
AvailabilityFactor,BAU,CR,PPBIO001,,,,2016,,,,,,0.9
AvailabilityFactor,BAU,CR,PPBIO001,,,,2017,,,,,,0.9
AvailabilityFactor,BAU,CR,PPBIO001,,,,2018,,,,,,0.9
AvailabilityFactor,BAU,CR,PPBIO001,,,,2019,,,,,,0.9
AvailabilityFactor,BAU,CR,PPBIO001,,,,2020,,,,,,0.9
AvailabilityFactor,BAU,CR,PPBIO001,,,,2021,,,,,,0.9
AvailabilityFactor,BAU,CR,PPBIO001,,,,2022,,,,,,0.9
AvailabilityFactor,BAU,CR,PPBIO001,,,,2023,,,,,,0.9
AvailabilityFactor,BAU,CR,PPBIO001,,,,2024,,,,,,0.9
AvailabilityFactor,BAU,CR,PPBIO001,,,,2025,,,,,,0.9
AvailabilityFactor,BAU,CR,PPBIO001,,,,2026,,,,,,0.9
AvailabilityFactor,BAU,CR,PPBIO001,,,,2027,,,,,,0.9
AvailabilityFactor,BAU,CR,PPBIO001,,,,2028,,,,,,0.9
AvailabilityFactor,BAU,CR,PPBIO001,,,,2029,,,,,,0.9
AvailabilityFactor,BAU,CR,PPBIO001,,,,2030,,,,,,0.9
AvailabilityFactor,BAU,CR,PPBIO001,,,,2031,,,,,,0.9
AvailabilityFactor,BAU,CR,PPBIO001,,,,2032,,,,,,0.9
AvailabilityFactor,BAU,CR,PPBIO001,,,,2033,,,,,,0.9
AvailabilityFactor,BAU,CR,PPBIO001,,,,2034,,,,,,0.9
AvailabilityFactor,BAU,CR,PPBIO001,,,,2035,,,,,,0.9
AvailabilityFactor,BAU,CR,PPBIO001,,,,2036,,,,,,0.9
AvailabilityFactor,BAU,CR,PPBIO001,,,,2037,,,,,,0.9
AvailabilityFactor,BAU,CR,PPBIO001,,,,2038,,,,,,0.9
AvailabilityFactor,BAU,CR,PPBIO001,,,,2039,,,,,,0.9
AvailabilityFactor,BAU,CR,PPBIO001,,,,2040,,,,,,0.9
AvailabilityFactor,BAU,CR,PPBIO001,,,,2041,,,,,,0.9
AvailabilityFactor,BAU,CR,PPBIO001,,,,2042,,,,,,0.9
AvailabilityFactor,BAU,CR,PPBIO001,,,,2043,,,,,,0.9
AvailabilityFactor,BAU,CR,PPBIO001,,,,2044,,,,,,0.9
AvailabilityFactor,BAU,CR,PPBIO001,,,,2045,,,,,,0.9
AvailabilityFactor,BAU,CR,PPBIO001,,,,2046,,,,,,0.9
AvailabilityFactor,BAU,CR,PPBIO001,,,,2047,,,,,,0.9
AvailabilityFactor,BAU,CR,PPBIO001,,,,2048,,,,,,0.9
AvailabilityFactor,BAU,CR,PPBIO001,,,,2049,,,,,,0.9
AvailabilityFactor,BAU,CR,PPBIO001,,,,2050,,,,,,0.9
AvailabilityFactor,BAU,CR,PPBIO002,,,,2015,,,,,,0.9
AvailabilityFactor,BAU,CR,PPBIO002,,,,2016,,,,,,0.9
AvailabilityFactor,BAU,CR,PPBIO002,,,,2017,,,,,,0.9
AvailabilityFactor,BAU,CR,PPBIO002,,,,2018,,,,,,0.9
AvailabilityFactor,BAU,CR,PPBIO002,,,,2019,,,,,,0.9
AvailabilityFactor,BAU,CR,PPBIO002,,,,2020,,,,,,0.9
AvailabilityFactor,BAU,CR,PPBIO002,,,,2021,,,,,,0.9
AvailabilityFactor,BAU,CR,PPBIO002,,,,2022,,,,,,0.9
AvailabilityFactor,BAU,CR,PPBIO002,,,,2023,,,,,,0.9
AvailabilityFactor,BAU,CR,PPBIO002,,,,2024,,,,,,0.9
AvailabilityFactor,BAU,CR,PPBIO002,,,,2025,,,,,,0.9
AvailabilityFactor,BAU,CR,PPBIO002,,,,2026,,,,,,0.9
AvailabilityFactor,BAU,CR,PPBIO002,,,,2027,,,,,,0.9
AvailabilityFactor,BAU,CR,PPBIO002,,,,2028,,,,,,0.9
AvailabilityFactor,BAU,CR,PPBIO002,,,,2029,,,,,,0.9
AvailabilityFactor,BAU,CR,PPBIO002,,,,2030,,,,,,0.9
AvailabilityFactor,BAU,CR,PPBIO002,,,,2031,,,,,,0.9
AvailabilityFactor,BAU,CR,PPBIO002,,,,2032,,,,,,0.9
AvailabilityFactor,BAU,CR,PPBIO002,,,,2033,,,,,,0.9
AvailabilityFactor,BAU,CR,PPBIO002,,,,2034,,,,,,0.9
AvailabilityFactor,BAU,CR,PPBIO002,,,,2035,,,,,,0.9
AvailabilityFactor,BAU,CR,PPBIO002,,,,2036,,,,,,0.9
AvailabilityFactor,BAU,CR,PPBIO002,,,,2037,,,,,,0.9
AvailabilityFactor,BAU,CR,PPBIO002,,,,2038,,,,,,0.9
AvailabilityFactor,BAU,CR,PPBIO002,,,,2039,,,,,,0.9
AvailabilityFactor,BAU,CR,PPBIO002,,,,2040,,,,,,0.9
AvailabilityFactor,BAU,CR,PPBIO002,,,,2041,,,,,,0.9
AvailabilityFactor,BAU,CR,PPBIO002,,,,2042,,,,,,0.9
AvailabilityFactor,BAU,CR,PPBIO002,,,,2043,,,,,,0.9
AvailabilityFactor,BAU,CR,PPBIO002,,,,2044,,,,,,0.9
AvailabilityFactor,BAU,CR,PPBIO002,,,,2045,,,,,,0.9
AvailabilityFactor,BAU,CR,PPBIO002,,,,2046,,,,,,0.9
AvailabilityFactor,BAU,CR,PPBIO002,,,,2047,,,,,,0.9
AvailabilityFactor,BAU,CR,PPBIO002,,,,2048,,,,,,0.9
