PARAMETER,Scenario,REGION,TECHNOLOGY,FUEL,EMISSION,MODE_OF_OPERATION,YEAR,TIMESLICE,SEASON,DAYTYPE,DAILYTIMEBRACKET,STORAGE,Value
SpecifiedDemandProfile,BAU,CR,,E1BIO,,,2015,DRY,,,,,0.41
SpecifiedDemandProfile,BAU,CR,,E1BIO,,,2015,RAIN,,,,,0.59
SpecifiedDemandProfile,BAU,CR,,E1BIO,,,2016,DRY,,,,,0.41
SpecifiedDemandProfile,BAU,CR,,E1BIO,,,2016,RAIN,,,,,0.59
SpecifiedDemandProfile,BAU,CR,,E1BIO,,,2017,DRY,,,,,0.41
SpecifiedDemandProfile,BAU,CR,,E1BIO,,,2017,RAIN,,,,,0.59
SpecifiedDemandProfile,BAU,CR,,E1BIO,,,2018,DRY,,,,,0.41
SpecifiedDemandProfile,BAU,CR,,E1BIO,,,2018,RAIN,,,,,0.59
SpecifiedDemandProfile,BAU,CR,,E1BIO,,,2019,DRY,,,,,0.41
SpecifiedDemandProfile,BAU,CR,,E1BIO,,,2019,RAIN,,,,,0.59
SpecifiedDemandProfile,BAU,CR,,E1BIO,,,2020,DRY,,,,,0.41
SpecifiedDemandProfile,BAU,CR,,E1BIO,,,2020,RAIN,,,,,0.59
SpecifiedDemandProfile,BAU,CR,,E1BIO,,,2021,DRY,,,,,0.41
SpecifiedDemandProfile,BAU,CR,,E1BIO,,,2021,RAIN,,,,,0.59
SpecifiedDemandProfile,BAU,CR,,E1BIO,,,2022,DRY,,,,,0.41
SpecifiedDemandProfile,BAU,CR,,E1BIO,,,2022,RAIN,,,,,0.59
SpecifiedDemandProfile,BAU,CR,,E1BIO,,,2023,DRY,,,,,0.41
SpecifiedDemandProfile,BAU,CR,,E1BIO,,,2023,RAIN,,,,,0.59
SpecifiedDemandProfile,BAU,CR,,E1BIO,,,2024,DRY,,,,,0.41
SpecifiedDemandProfile,BAU,CR,,E1BIO,,,2024,RAIN,,,,,0.59
SpecifiedDemandProfile,BAU,CR,,E1BIO,,,2025,DRY,,,,,0.41
SpecifiedDemandProfile,BAU,CR,,E1BIO,,,2025,RAIN,,,,,0.59
SpecifiedDemandProfile,BAU,CR,,E1BIO,,,2026,DRY,,,,,0.41
SpecifiedDemandProfile,BAU,CR,,E1BIO,,,2026,RAIN,,,,,0.59
SpecifiedDemandProfile,BAU,CR,,E1BIO,,,2027,DRY,,,,,0.41
SpecifiedDemandProfile,BAU,CR,,E1BIO,,,2027,RAIN,,,,,0.59
SpecifiedDemandProfile,BAU,CR,,E1BIO,,,2028,DRY,,,,,0.41
SpecifiedDemandProfile,BAU,CR,,E1BIO,,,2028,RAIN,,,,,0.59
SpecifiedDemandProfile,BAU,CR,,E1BIO,,,2029,DRY,,,,,0.41
SpecifiedDemandProfile,BAU,CR,,E1BIO,,,2029,RAIN,,,,,0.59
SpecifiedDemandProfile,BAU,CR,,E1BIO,,,2030,DRY,,,,,0.41
SpecifiedDemandProfile,BAU,CR,,E1BIO,,,2030,RAIN,,,,,0.59
SpecifiedDemandProfile,BAU,CR,,E1BIO,,,2031,DRY,,,,,0.41
SpecifiedDemandProfile,BAU,CR,,E1BIO,,,2031,RAIN,,,,,0.59
SpecifiedDemandProfile,BAU,CR,,E1BIO,,,2032,DRY,,,,,0.41
SpecifiedDemandProfile,BAU,CR,,E1BIO,,,2032,RAIN,,,,,0.59
SpecifiedDemandProfile,BAU,CR,,E1BIO,,,2033,DRY,,,,,0.41
SpecifiedDemandProfile,BAU,CR,,E1BIO,,,2033,RAIN,,,,,0.59
SpecifiedDemandProfile,BAU,CR,,E1BIO,,,2034,DRY,,,,,0.41
SpecifiedDemandProfile,BAU,CR,,E1BIO,,,2034,RAIN,,,,,0.59
SpecifiedDemandProfile,BAU,CR,,E1BIO,,,2035,DRY,,,,,0.41
SpecifiedDemandProfile,BAU,CR,,E1BIO,,,2035,RAIN,,,,,0.59
SpecifiedDemandProfile,BAU,CR,,E1BIO,,,2036,DRY,,,,,0.41
SpecifiedDemandProfile,BAU,CR,,E1BIO,,,2036,RAIN,,,,,0.59
SpecifiedDemandProfile,BAU,CR,,E1BIO,,,2037,DRY,,,,,0.41
SpecifiedDemandProfile,BAU,CR,,E1BIO,,,2037,RAIN,,,,,0.59
SpecifiedDemandProfile,BAU,CR,,E1BIO,,,2038,DRY,,,,,0.41
SpecifiedDemandProfile,BAU,CR,,E1BIO,,,2038,RAIN,,,,,0.59
