PARAMETER,Scenario,REGION,TECHNOLOGY,FUEL,EMISSION,MODE_OF_OPERATION,YEAR,TIMESLICE,SEASON,DAYTYPE,DAILYTIMEBRACKET,STORAGE,Value
TotalAnnualMinCapacity,BAU,CR,TRXTRAIELEFRE02,,,,2015,,,,,,0
TotalAnnualMinCapacity,BAU,CR,TRXTRAIELEFRE02,,,,2016,,,,,,0
TotalAnnualMinCapacity,BAU,CR,TRXTRAIELEFRE02,,,,2017,,,,,,0
TotalAnnualMinCapacity,BAU,CR,TRXTRAIELEFRE02,,,,2018,,,,,,0
TotalAnnualMinCapacity,BAU,CR,TRXTRAIELEFRE02,,,,2019,,,,,,0
TotalAnnualMinCapacity,BAU,CR,TRXTRAIELEFRE02,,,,2020,,,,,,0
TotalAnnualMinCapacity,BAU,CR,TRXTRAIELEFRE02,,,,2021,,,,,,0.08
TotalAnnualMinCapacity,BAU,CR,TRXTRAIELEFRE02,,,,2022,,,,,,0.17
TotalAnnualMinCapacity,BAU,CR,TRXTRAIELEFRE02,,,,2023,,,,,,0.26
TotalAnnualMinCapacity,BAU,CR,TRXTRAIELEFRE02,,,,2024,,,,,,0.35
TotalAnnualMinCapacity,BAU,CR,TRXTRAIELEFRE02,,,,2025,,,,,,0.45
TotalAnnualMinCapacity,BAU,CR,TRXTRAIELEFRE02,,,,2026,,,,,,0.55
TotalAnnualMinCapacity,BAU,CR,TRXTRAIELEFRE02,,,,2027,,,,,,0.65
TotalAnnualMinCapacity,BAU,CR,TRXTRAIELEFRE02,,,,2028,,,,,,0.76
TotalAnnualMinCapacity,BAU,CR,TRXTRAIELEFRE02,,,,2029,,,,,,0.87
TotalAnnualMinCapacity,BAU,CR,TRXTRAIELEFRE02,,,,2030,,,,,,0.99
TotalAnnualMinCapacity,BAU,CR,TRXTRAIELEFRE02,,,,2031,,,,,,1.11
TotalAnnualMinCapacity,BAU,CR,TRXTRAIELEFRE02,,,,2032,,,,,,1.23
TotalAnnualMinCapacity,BAU,CR,TRXTRAIELEFRE02,,,,2033,,,,,,1.36
TotalAnnualMinCapacity,BAU,CR,TRXTRAIELEFRE02,,,,2034,,,,,,1.49
TotalAnnualMinCapacity,BAU,CR,TRXTRAIELEFRE02,,,,2035,,,,,,1.62
TotalAnnualMinCapacity,BAU,CR,TRXTRAIELEFRE02,,,,2036,,,,,,1.76
TotalAnnualMinCapacity,BAU,CR,TRXTRAIELEFRE02,,,,2037,,,,,,1.91
TotalAnnualMinCapacity,BAU,CR,TRXTRAIELEFRE02,,,,2038,,,,,,2.05
TotalAnnualMinCapacity,BAU,CR,TRXTRAIELEFRE02,,,,2039,,,,,,2.2
