PARAMETER,Scenario,REGION,TECHNOLOGY,FUEL,EMISSION,MODE_OF_OPERATION,YEAR,TIMESLICE,SEASON,DAYTYPE,DAILYTIMEBRACKET,STORAGE,Value
CapacityToActivityUnit,BAU,CR,BACKSTOP_PS,,,,,,,,,,1
CapacityToActivityUnit,BAU,CR,BACKSTOP_TS,,,,,,,,,,1
CapacityToActivityUnit,BAU,CR,DBIO_El,,,,,,,,,,1
CapacityToActivityUnit,BAU,CR,DDSL_El,,,,,,,,,,1
CapacityToActivityUnit,BAU,CR,DDSL_HF,,,,,,,,,,1
CapacityToActivityUnit,BAU,CR,DDSL_LF,,,,,,,,,,1
CapacityToActivityUnit,BAU,CR,DDSL_Pr,,,,,,,,,,1
CapacityToActivityUnit,BAU,CR,DDSL_Pu,,,,,,,,,,1
CapacityToActivityUnit,BAU,CR,DELE_HF,,,,,,,,,,1
CapacityToActivityUnit,BAU,CR,DELE_LF,,,,,,,,,,1
CapacityToActivityUnit,BAU,CR,DELE_Pr,,,,,,,,,,1
CapacityToActivityUnit,BAU,CR,DELE_Pu,,,,,,,,,,1
CapacityToActivityUnit,BAU,CR,DGSL_LF,,,,,,,,,,1
CapacityToActivityUnit,BAU,CR,DGSL_Pr,,,,,,,,,,1
CapacityToActivityUnit,BAU,CR,DGSL_Pu,,,,,,,,,,1
CapacityToActivityUnit,BAU,CR,DHYD_HF,,,,,,,,,,1
CapacityToActivityUnit,BAU,CR,DHYD_Pu,,,,,,,,,,1
CapacityToActivityUnit,BAU,CR,DIST_DSL,,,,,,,,,,1
CapacityToActivityUnit,BAU,CR,DIST_FOI,,,,,,,,,,1
CapacityToActivityUnit,BAU,CR,DIST_FWO,,,,,,,,,,1
CapacityToActivityUnit,BAU,CR,DIST_GSL,,,,,,,,,,1
CapacityToActivityUnit,BAU,CR,DIST_HYD,,,,,,,,,,1
CapacityToActivityUnit,BAU,CR,DIST_JFUEL,,,,,,,,,,1
CapacityToActivityUnit,BAU,CR,DIST_LPG,,,,,,,,,,1
CapacityToActivityUnit,BAU,CR,DIST_NG,,,,,,,,,,1
CapacityToActivityUnit,BAU,CR,DIST_PCO,,,,,,,,,,1
CapacityToActivityUnit,BAU,CR,DLPG_HF,,,,,,,,,,1
CapacityToActivityUnit,BAU,CR,DLPG_LF,,,,,,,,,,1
CapacityToActivityUnit,BAU,CR,DLPG_Pr,,,,,,,,,,1
CapacityToActivityUnit,BAU,CR,DLPG_Pu,,,,,,,,,,1
CapacityToActivityUnit,BAU,CR,ESRNBIO,,,,,,,,,,1
CapacityToActivityUnit,BAU,CR,ESRNGEO,,,,,,,,,,1
CapacityToActivityUnit,BAU,CR,ESRNSUN,,,,,,,,,,1
CapacityToActivityUnit,BAU,CR,ESRNWAT,,,,,,,,,,1
CapacityToActivityUnit,BAU,CR,ESRNWND,,,,,,,,,,1
CapacityToActivityUnit,BAU,CR,PPBIO001,,,,,,,,,,31.356
CapacityToActivityUnit,BAU,CR,PPBIO002,,,,,,,,,,31.356
CapacityToActivityUnit,BAU,CR,PPDSL001,,,,,,,,,,31.356
CapacityToActivityUnit,BAU,CR,PPDSL002,,,,,,,,,,31.356
CapacityToActivityUnit,BAU,CR,PPFOB001,,,,,,,,,,31.356
CapacityToActivityUnit,BAU,CR,PPFOB002,,,,,,,,,,31.356
CapacityToActivityUnit,BAU,CR,PPGEO001,,,,,,,,,,31.356
CapacityToActivityUnit,BAU,CR,PPGEO002,,,,,,,,,,31.356
CapacityToActivityUnit,BAU,CR,PPHDAM001,,,,,,,,,,31.356
CapacityToActivityUnit,BAU,CR,PPHDAM002,,,,,,,,,,31.356
CapacityToActivityUnit,BAU,CR,PPHROR001,,,,,,,,,,31.356
CapacityToActivityUnit,BAU,CR,PPHROR002,,,,,,,,,,31.356
CapacityToActivityUnit,BAU,CR,PPPVD002,,,,,,,,,,31.356
CapacityToActivityUnit,BAU,CR,PPPVT001,,,,,,,,,,31.356
CapacityToActivityUnit,BAU,CR,PPPVT002,,,,,,,,,,31.356
CapacityToActivityUnit,BAU,CR,PPWND002,,,,,,,,,,31.356
CapacityToActivityUnit,BAU,CR,PPWNT001,,,,,,,,,,31.356
CapacityToActivityUnit,BAU,CR,PPWNT002,,,,,,,,,,31.356
CapacityToActivityUnit,BAU,CR,PROD_HYD_CH4,,,,,,,,,,1
CapacityToActivityUnit,BAU,CR,PROD_HYD_H20,,,,,,,,,,1
CapacityToActivityUnit,BAU,CR,TDDIST01,,,,,,,,,,1
CapacityToActivityUnit,BAU,CR,TDDIST02,,,,,,,,,,1
CapacityToActivityUnit,BAU,CR,TDTRANS01,,,,,,,,,,1
CapacityToActivityUnit,BAU,CR,TDTRANS02,,,,,,,,,,1
CapacityToActivityUnit,BAU,CR,Techs_4WD,,,,,,,,,,1
CapacityToActivityUnit,BAU,CR,Techs_Buses,,,,,,,,,,1
CapacityToActivityUnit,BAU,CR,Techs_He_Freight,,,,,,,,,,1
CapacityToActivityUnit,BAU,CR,Techs_LD,,,,,,,,,,1
CapacityToActivityUnit,BAU,CR,Techs_Li_Freight,,,,,,,,,,1
CapacityToActivityUnit,BAU,CR,Techs_Microbuses,,,,,,,,,,1
CapacityToActivityUnit,BAU,CR,Techs_Minivan,,,,,,,,,,1
CapacityToActivityUnit,BAU,CR,Techs_Motos,,,,,,,,,,1
CapacityToActivityUnit,BAU,CR,Techs_Taxis,,,,,,,,,,1
CapacityToActivityUnit,BAU,CR,Techs_Trains,,,,,,,,,,1
CapacityToActivityUnit,BAU,CR,TRANOMOTBike,,,,,,,,,,1
CapacityToActivityUnit,BAU,CR,TRANOMOTWalk,,,,,,,,,,1
CapacityToActivityUnit,BAU,CR,TRBUSDSL01,,,,,,,,,,1
CapacityToActivityUnit,BAU,CR,TRBUSDSL02,,,,,,,,,,1
CapacityToActivityUnit,BAU,CR,TRBUSELC02,,,,,,,,,,1
CapacityToActivityUnit,BAU,CR,TRBUSHYBD02,,,,,,,,,,1
CapacityToActivityUnit,BAU,CR,TRBUSHYD02,,,,,,,,,,1
CapacityToActivityUnit,BAU,CR,TRBUSLPG02,,,,,,,,,,1
CapacityToActivityUnit,BAU,CR,TRFWDDSL01,,,,,,,,,,1
CapacityToActivityUnit,BAU,CR,TRFWDDSL02,,,,,,,,,,1
CapacityToActivityUnit,BAU,CR,TRFWDELE02,,,,,,,,,,1
CapacityToActivityUnit,BAU,CR,TRFWDGAS01,,,,,,,,,,1
CapacityToActivityUnit,BAU,CR,TRFWDGAS02,,,,,,,,,,1
CapacityToActivityUnit,BAU,CR,TRFWDHYBD02,,,,,,,,,,1
CapacityToActivityUnit,BAU,CR,TRFWDLPG01,,,,,,,,,,1
CapacityToActivityUnit,BAU,CR,TRFWDLPG02,,,,,,,,,,1
CapacityToActivityUnit,BAU,CR,TRFWDPHYBD02,,,,,,,,,,1
CapacityToActivityUnit,BAU,CR,TRLDDSL01,,,,,,,,,,1
CapacityToActivityUnit,BAU,CR,TRLDDSL02,,,,,,,,,,1
CapacityToActivityUnit,BAU,CR,TRLDELE02,,,,,,,,,,1
CapacityToActivityUnit,BAU,CR,TRLDGAS01,,,,,,,,,,1
CapacityToActivityUnit,BAU,CR,TRLDGAS02,,,,,,,,,,1
CapacityToActivityUnit,BAU,CR,TRLDHYBG02,,,,,,,,,,1
CapacityToActivityUnit,BAU,CR,TRLDPHYBG02,,,,,,,,,,1
CapacityToActivityUnit,BAU,CR,TRMBUSDSL01,,,,,,,,,,1
CapacityToActivityUnit,BAU,CR,TRMBUSDSL02,,,,,,,,,,1
CapacityToActivityUnit,BAU,CR,TRMBUSELE02,,,,,,,,,,1
CapacityToActivityUnit,BAU,CR,TRMBUSHYBD02,,,,,,,,,,1
CapacityToActivityUnit,BAU,CR,TRMBUSHYD02,,,,,,,,,,1
CapacityToActivityUnit,BAU,CR,TRMBUSLPG02,,,,,,,,,,1
CapacityToActivityUnit,BAU,CR,TRMIVDSL02,,,,,,,,,,1
CapacityToActivityUnit,BAU,CR,TRMIVELE02,,,,,,,,,,1
CapacityToActivityUnit,BAU,CR,TRMIVGAS02,,,,,,,,,,1
CapacityToActivityUnit,BAU,CR,TRMIVHYBD02,,,,,,,,,,1
CapacityToActivityUnit,BAU,CR,TRMIVHYBG02,,,,,,,,,,1
CapacityToActivityUnit,BAU,CR,TRMIVLPG02,,,,,,,,,,1
CapacityToActivityUnit,BAU,CR,TRMOTELC02,,,,,,,,,,1
CapacityToActivityUnit,BAU,CR,TRMOTGAS01,,,,,,,,,,1
CapacityToActivityUnit,BAU,CR,TRMOTGAS02,,,,,,,,,,1
CapacityToActivityUnit,BAU,CR,TRTAXDSL01,,,,,,,,,,1
CapacityToActivityUnit,BAU,CR,TRTAXDSL02,,,,,,,,,,1
CapacityToActivityUnit,BAU,CR,TRTAXELC02,,,,,,,,,,1
CapacityToActivityUnit,BAU,CR,TRTAXGAS01,,,,,,,,,,1
CapacityToActivityUnit,BAU,CR,TRTAXGAS02,,,,,,,,,,1
CapacityToActivityUnit,BAU,CR,TRTAXHYBD02,,,,,,,,,,1
CapacityToActivityUnit,BAU,CR,TRTAXHYBG02,,,,,,,,,,1
CapacityToActivityUnit,BAU,CR,TRTAXLPG02,,,,,,,,,,1
CapacityToActivityUnit,BAU,CR,TRXTRAIELEFRE02,,,,,,,,,,1
CapacityToActivityUnit,BAU,CR,TRXTRAINDSL01,,,,,,,,,,1
CapacityToActivityUnit,BAU,CR,TRXTRAINDSL02,,,,,,,,,,1
CapacityToActivityUnit,BAU,CR,TRXTRAINELC02,,,,,,,,,,1
CapacityToActivityUnit,BAU,CR,TRYLFDSL01,,,,,,,,,,1
CapacityToActivityUnit,BAU,CR,TRYLFDSL02,,,,,,,,,,1
CapacityToActivityUnit,BAU,CR,TRYLFELE02,,,,,,,,,,1
CapacityToActivityUnit,BAU,CR,TRYLFGAS02,,,,,,,,,,1
CapacityToActivityUnit,BAU,CR,TRYLFHYBD02,,,,,,,,,,1
CapacityToActivityUnit,BAU,CR,TRYLFHYBG02,,,,,,,,,,1
CapacityToActivityUnit,BAU,CR,TRYLFLPG02,,,,,,,,,,1
CapacityToActivityUnit,BAU,CR,TRYTKDSL01,,,,,,,,,,1
CapacityToActivityUnit,BAU,CR,TRYTKDSL02,,,,,,,,,,1
CapacityToActivityUnit,BAU,CR,TRYTKELC02,,,,,,,,,,1
CapacityToActivityUnit,BAU,CR,TRYTKHYBD02,,,,,,,,,,1
CapacityToActivityUnit,BAU,CR,TRYTKHYD02,,,,,,,,,,1
CapacityToActivityUnit,BAU,CR,TRYTKLPG02,,,,,,,,,,1
