PARAMETER,Scenario,REGION,TECHNOLOGY,FUEL,EMISSION,MODE_OF_OPERATION,YEAR,TIMESLICE,SEASON,DAYTYPE,DAILYTIMEBRACKET,STORAGE,Value
EmissionActivityRatio,BAU,CR,DDSL_HF,,C02e_Freigth,1,2015,,,,,,0.0747
EmissionActivityRatio,BAU,CR,DDSL_HF,,C02e_Freigth,1,2016,,,,,,0.0747
EmissionActivityRatio,BAU,CR,DDSL_HF,,C02e_Freigth,1,2017,,,,,,0.0747
EmissionActivityRatio,BAU,CR,DDSL_HF,,C02e_Freigth,1,2018,,,,,,0.0747
EmissionActivityRatio,BAU,CR,DDSL_HF,,C02e_Freigth,1,2019,,,,,,0.0747
EmissionActivityRatio,BAU,CR,DDSL_HF,,C02e_Freigth,1,2020,,,,,,0.0745
EmissionActivityRatio,BAU,CR,DDSL_HF,,C02e_Freigth,1,2021,,,,,,0.0743
EmissionActivityRatio,BAU,CR,DDSL_HF,,C02e_Freigth,1,2022,,,,,,0.0741
EmissionActivityRatio,BAU,CR,DDSL_HF,,C02e_Freigth,1,2023,,,,,,0.0739
EmissionActivityRatio,BAU,CR,DDSL_HF,,C02e_Freigth,1,2024,,,,,,0.0737
EmissionActivityRatio,BAU,CR,DDSL_HF,,C02e_Freigth,1,2025,,,,,,0.0735
EmissionActivityRatio,BAU,CR,DDSL_HF,,C02e_Freigth,1,2026,,,,,,0.0733
EmissionActivityRatio,BAU,CR,DDSL_HF,,C02e_Freigth,1,2027,,,,,,0.0731
EmissionActivityRatio,BAU,CR,DDSL_HF,,C02e_Freigth,1,2028,,,,,,0.0729
EmissionActivityRatio,BAU,CR,DDSL_HF,,C02e_Freigth,1,2029,,,,,,0.0727
EmissionActivityRatio,BAU,CR,DDSL_HF,,C02e_Freigth,1,2030,,,,,,0.0725
EmissionActivityRatio,BAU,CR,DDSL_HF,,C02e_Freigth,1,2031,,,,,,0.0723
EmissionActivityRatio,BAU,CR,DDSL_HF,,C02e_Freigth,1,2032,,,,,,0.0721
EmissionActivityRatio,BAU,CR,DDSL_HF,,C02e_Freigth,1,2033,,,,,,0.0719
EmissionActivityRatio,BAU,CR,DDSL_HF,,C02e_Freigth,1,2034,,,,,,0.0717
EmissionActivityRatio,BAU,CR,DDSL_HF,,C02e_Freigth,1,2035,,,,,,0.0715
EmissionActivityRatio,BAU,CR,DDSL_HF,,C02e_Freigth,1,2036,,,,,,0.0713
EmissionActivityRatio,BAU,CR,DDSL_HF,,C02e_Freigth,1,2037,,,,,,0.0711
EmissionActivityRatio,BAU,CR,DDSL_HF,,C02e_Freigth,1,2038,,,,,,0.0709
EmissionActivityRatio,BAU,CR,DDSL_HF,,C02e_Freigth,1,2039,,,,,,0.0707
EmissionActivityRatio,BAU,CR,DDSL_HF,,C02e_Freigth,1,2040,,,,,,0.0705
EmissionActivityRatio,BAU,CR,DDSL_HF,,C02e_Freigth,1,2041,,,,,,0.0703
EmissionActivityRatio,BAU,CR,DDSL_HF,,C02e_Freigth,1,2042,,,,,,0.0701
EmissionActivityRatio,BAU,CR,DDSL_HF,,C02e_Freigth,1,2043,,,,,,0.0699
EmissionActivityRatio,BAU,CR,DDSL_HF,,C02e_Freigth,1,2044,,,,,,0.0697
EmissionActivityRatio,BAU,CR,DDSL_HF,,C02e_Freigth,1,2045,,,,,,0.0695
EmissionActivityRatio,BAU,CR,DDSL_HF,,C02e_Freigth,1,2046,,,,,,0.0693
EmissionActivityRatio,BAU,CR,DDSL_HF,,C02e_Freigth,1,2047,,,,,,0.0691
EmissionActivityRatio,BAU,CR,DDSL_HF,,C02e_Freigth,1,2048,,,,,,0.0689
EmissionActivityRatio,BAU,CR,DDSL_HF,,C02e_Freigth,1,2049,,,,,,0.0687
EmissionActivityRatio,BAU,CR,DDSL_HF,,C02e_Freigth,1,2050,,,,,,0.0685
EmissionActivityRatio,BAU,CR,DDSL_HF,,CO2e_HeavyCargo,1,2015,,,,,,0.0747
EmissionActivityRatio,BAU,CR,DDSL_HF,,CO2e_HeavyCargo,1,2016,,,,,,0.0747
EmissionActivityRatio,BAU,CR,DDSL_HF,,CO2e_HeavyCargo,1,2017,,,,,,0.0747
EmissionActivityRatio,BAU,CR,DDSL_HF,,CO2e_HeavyCargo,1,2018,,,,,,0.0747
EmissionActivityRatio,BAU,CR,DDSL_HF,,CO2e_HeavyCargo,1,2019,,,,,,0.0747
EmissionActivityRatio,BAU,CR,DDSL_HF,,CO2e_HeavyCargo,1,2020,,,,,,0.0745
EmissionActivityRatio,BAU,CR,DDSL_HF,,CO2e_HeavyCargo,1,2021,,,,,,0.0743
EmissionActivityRatio,BAU,CR,DDSL_HF,,CO2e_HeavyCargo,1,2022,,,,,,0.0741
EmissionActivityRatio,BAU,CR,DDSL_HF,,CO2e_HeavyCargo,1,2023,,,,,,0.0739
EmissionActivityRatio,BAU,CR,DDSL_HF,,CO2e_HeavyCargo,1,2024,,,,,,0.0737
EmissionActivityRatio,BAU,CR,DDSL_HF,,CO2e_HeavyCargo,1,2025,,,,,,0.0735
EmissionActivityRatio,BAU,CR,DDSL_HF,,CO2e_HeavyCargo,1,2026,,,,,,0.0733
EmissionActivityRatio,BAU,CR,DDSL_HF,,CO2e_HeavyCargo,1,2027,,,,,,0.0731
EmissionActivityRatio,BAU,CR,DDSL_HF,,CO2e_HeavyCargo,1,2028,,,,,,0.0729
EmissionActivityRatio,BAU,CR,DDSL_HF,,CO2e_HeavyCargo,1,2029,,,,,,0.0727
EmissionActivityRatio,BAU,CR,DDSL_HF,,CO2e_HeavyCargo,1,2030,,,,,,0.0725
EmissionActivityRatio,BAU,CR,DDSL_HF,,CO2e_HeavyCargo,1,2031,,,,,,0.0723
EmissionActivityRatio,BAU,CR,DDSL_HF,,CO2e_HeavyCargo,1,2032,,,,,,0.0721
EmissionActivityRatio,BAU,CR,DDSL_HF,,CO2e_HeavyCargo,1,2033,,,,,,0.0719
EmissionActivityRatio,BAU,CR,DDSL_HF,,CO2e_HeavyCargo,1,2034,,,,,,0.0717
EmissionActivityRatio,BAU,CR,DDSL_HF,,CO2e_HeavyCargo,1,2035,,,,,,0.0715
EmissionActivityRatio,BAU,CR,DDSL_HF,,CO2e_HeavyCargo,1,2036,,,,,,0.0713
EmissionActivityRatio,BAU,CR,DDSL_HF,,CO2e_HeavyCargo,1,2037,,,,,,0.0711
EmissionActivityRatio,BAU,CR,DDSL_HF,,CO2e_HeavyCargo,1,2038,,,,,,0.0709
EmissionActivityRatio,BAU,CR,DDSL_HF,,CO2e_HeavyCargo,1,2039,,,,,,0.0707
EmissionActivityRatio,BAU,CR,DDSL_HF,,CO2e_HeavyCargo,1,2040,,,,,,0.0705
EmissionActivityRatio,BAU,CR,DDSL_HF,,CO2e_HeavyCargo,1,2041,,,,,,0.0703
EmissionActivityRatio,BAU,CR,DDSL_HF,,CO2e_HeavyCargo,1,2042,,,,,,0.0701
EmissionActivityRatio,BAU,CR,DDSL_HF,,CO2e_HeavyCargo,1,2043,,,,,,0.0699
EmissionActivityRatio,BAU,CR,DDSL_HF,,CO2e_HeavyCargo,1,2044,,,,,,0.0697
EmissionActivityRatio,BAU,CR,DDSL_HF,,CO2e_HeavyCargo,1,2045,,,,,,0.0695
EmissionActivityRatio,BAU,CR,DDSL_HF,,CO2e_HeavyCargo,1,2046,,,,,,0.0693
EmissionActivityRatio,BAU,CR,DDSL_HF,,CO2e_HeavyCargo,1,2047,,,,,,0.0691
EmissionActivityRatio,BAU,CR,DDSL_HF,,CO2e_HeavyCargo,1,2048,,,,,,0.0689
EmissionActivityRatio,BAU,CR,DDSL_HF,,CO2e_HeavyCargo,1,2049,,,,,,0.0687
EmissionActivityRatio,BAU,CR,DDSL_HF,,CO2e_HeavyCargo,1,2050,,,,,,0.0685
EmissionActivityRatio,BAU,CR,DDSL_HF,,CO2e_Transport,1,2015,,,,,,0.0747
EmissionActivityRatio,BAU,CR,DDSL_HF,,CO2e_Transport,1,2016,,,,,,0.0747
EmissionActivityRatio,BAU,CR,DDSL_HF,,CO2e_Transport,1,2017,,,,,,0.0747
EmissionActivityRatio,BAU,CR,DDSL_HF,,CO2e_Transport,1,2018,,,,,,0.0747
EmissionActivityRatio,BAU,CR,DDSL_HF,,CO2e_Transport,1,2019,,,,,,0.0747
EmissionActivityRatio,BAU,CR,DDSL_HF,,CO2e_Transport,1,2020,,,,,,0.0745
EmissionActivityRatio,BAU,CR,DDSL_HF,,CO2e_Transport,1,2021,,,,,,0.0743
EmissionActivityRatio,BAU,CR,DDSL_HF,,CO2e_Transport,1,2022,,,,,,0.0741
EmissionActivityRatio,BAU,CR,DDSL_HF,,CO2e_Transport,1,2023,,,,,,0.0739
EmissionActivityRatio,BAU,CR,DDSL_HF,,CO2e_Transport,1,2024,,,,,,0.0737
EmissionActivityRatio,BAU,CR,DDSL_HF,,CO2e_Transport,1,2025,,,,,,0.0735
EmissionActivityRatio,BAU,CR,DDSL_HF,,CO2e_Transport,1,2026,,,,,,0.0733
EmissionActivityRatio,BAU,CR,DDSL_HF,,CO2e_Transport,1,2027,,,,,,0.0731
EmissionActivityRatio,BAU,CR,DDSL_HF,,CO2e_Transport,1,2028,,,,,,0.0729
