PARAMETER,Scenario,REGION,TECHNOLOGY,FUEL,EMISSION,MODE_OF_OPERATION,YEAR,TIMESLICE,SEASON,DAYTYPE,DAILYTIMEBRACKET,STORAGE,Value
EmissionsPenalty,BAU,CR,,,Accidents,,2015,,,,,,1000
EmissionsPenalty,BAU,CR,,,Accidents,,2016,,,,,,1000
EmissionsPenalty,BAU,CR,,,Accidents,,2017,,,,,,1000
EmissionsPenalty,BAU,CR,,,Accidents,,2018,,,,,,1000
EmissionsPenalty,BAU,CR,,,Accidents,,2019,,,,,,1000
EmissionsPenalty,BAU,CR,,,Accidents,,2020,,,,,,1000
EmissionsPenalty,BAU,CR,,,Accidents,,2021,,,,,,1000
EmissionsPenalty,BAU,CR,,,Accidents,,2022,,,,,,1000
EmissionsPenalty,BAU,CR,,,Accidents,,2023,,,,,,1000
EmissionsPenalty,BAU,CR,,,Accidents,,2024,,,,,,1000
EmissionsPenalty,BAU,CR,,,Accidents,,2025,,,,,,1000
EmissionsPenalty,BAU,CR,,,Accidents,,2026,,,,,,1000
EmissionsPenalty,BAU,CR,,,Accidents,,2027,,,,,,1000
EmissionsPenalty,BAU,CR,,,Accidents,,2028,,,,,,1000
EmissionsPenalty,BAU,CR,,,Accidents,,2029,,,,,,1000
EmissionsPenalty,BAU,CR,,,Accidents,,2030,,,,,,1000
EmissionsPenalty,BAU,CR,,,Accidents,,2031,,,,,,1000
EmissionsPenalty,BAU,CR,,,Accidents,,2032,,,,,,1000
EmissionsPenalty,BAU,CR,,,Accidents,,2033,,,,,,1000
EmissionsPenalty,BAU,CR,,,Accidents,,2034,,,,,,1000
EmissionsPenalty,BAU,CR,,,Accidents,,2035,,,,,,1000
EmissionsPenalty,BAU,CR,,,Accidents,,2036,,,,,,1000
EmissionsPenalty,BAU,CR,,,Accidents,,2037,,,,,,1000
EmissionsPenalty,BAU,CR,,,Accidents,,2038,,,,,,1000
EmissionsPenalty,BAU,CR,,,Accidents,,2039,,,,,,1000
EmissionsPenalty,BAU,CR,,,Accidents,,2040,,,,,,1000
EmissionsPenalty,BAU,CR,,,Accidents,,2041,,,,,,1000
EmissionsPenalty,BAU,CR,,,Accidents,,2042,,,,,,1000
EmissionsPenalty,BAU,CR,,,Accidents,,2043,,,,,,1000
EmissionsPenalty,BAU,CR,,,Accidents,,2044,,,,,,1000
EmissionsPenalty,BAU,CR,,,Accidents,,2045,,,,,,1000
EmissionsPenalty,BAU,CR,,,Accidents,,2046,,,,,,1000
EmissionsPenalty,BAU,CR,,,Accidents,,2047,,,,,,1000
EmissionsPenalty,BAU,CR,,,Accidents,,2048,,,,,,1000
EmissionsPenalty,BAU,CR,,,Accidents,,2049,,,,,,1000
EmissionsPenalty,BAU,CR,,,Accidents,,2050,,,,,,1000
EmissionsPenalty,BAU,CR,,,Congestion,,2015,,,,,,1000
EmissionsPenalty,BAU,CR,,,Congestion,,2016,,,,,,1000
EmissionsPenalty,BAU,CR,,,Congestion,,2017,,,,,,1000
EmissionsPenalty,BAU,CR,,,Congestion,,2018,,,,,,1000
EmissionsPenalty,BAU,CR,,,Congestion,,2019,,,,,,1000
EmissionsPenalty,BAU,CR,,,Congestion,,2020,,,,,,1000
EmissionsPenalty,BAU,CR,,,Congestion,,2021,,,,,,1000
EmissionsPenalty,BAU,CR,,,Congestion,,2022,,,,,,1000
EmissionsPenalty,BAU,CR,,,Congestion,,2023,,,,,,1000
EmissionsPenalty,BAU,CR,,,Congestion,,2024,,,,,,1000
