PARAMETER,Scenario,REGION,TECHNOLOGY,FUEL,EMISSION,MODE_OF_OPERATION,YEAR,TIMESLICE,SEASON,DAYTYPE,DAILYTIMEBRACKET,STORAGE,Value
TotalTechnologyAnnualActivityLowerLimit,BAU,CR,Techs_4WD,,,,2015,,,,,,4.3457
TotalTechnologyAnnualActivityLowerLimit,BAU,CR,Techs_4WD,,,,2016,,,,,,4.599
TotalTechnologyAnnualActivityLowerLimit,BAU,CR,Techs_4WD,,,,2017,,,,,,4.7274
TotalTechnologyAnnualActivityLowerLimit,BAU,CR,Techs_4WD,,,,2018,,,,,,4.8665
TotalTechnologyAnnualActivityLowerLimit,BAU,CR,Techs_4WD,,,,2019,,,,,,5.0039
TotalTechnologyAnnualActivityLowerLimit,BAU,CR,Techs_4WD,,,,2020,,,,,,5.1484
TotalTechnologyAnnualActivityLowerLimit,BAU,CR,Techs_4WD,,,,2021,,,,,,5.1921
TotalTechnologyAnnualActivityLowerLimit,BAU,CR,Techs_4WD,,,,2022,,,,,,5.2099
TotalTechnologyAnnualActivityLowerLimit,BAU,CR,Techs_4WD,,,,2023,,,,,,5.2305
TotalTechnologyAnnualActivityLowerLimit,BAU,CR,Techs_4WD,,,,2024,,,,,,5.2653
TotalTechnologyAnnualActivityLowerLimit,BAU,CR,Techs_4WD,,,,2025,,,,,,5.317
TotalTechnologyAnnualActivityLowerLimit,BAU,CR,Techs_4WD,,,,2026,,,,,,5.3233
TotalTechnologyAnnualActivityLowerLimit,BAU,CR,Techs_4WD,,,,2027,,,,,,5.3696
TotalTechnologyAnnualActivityLowerLimit,BAU,CR,Techs_4WD,,,,2028,,,,,,5.4097
TotalTechnologyAnnualActivityLowerLimit,BAU,CR,Techs_4WD,,,,2029,,,,,,5.4169
TotalTechnologyAnnualActivityLowerLimit,BAU,CR,Techs_4WD,,,,2030,,,,,,5.4464
TotalTechnologyAnnualActivityLowerLimit,BAU,CR,Techs_4WD,,,,2031,,,,,,5.4749
TotalTechnologyAnnualActivityLowerLimit,BAU,CR,Techs_4WD,,,,2032,,,,,,5.5061
TotalTechnologyAnnualActivityLowerLimit,BAU,CR,Techs_4WD,,,,2033,,,,,,5.5373
TotalTechnologyAnnualActivityLowerLimit,BAU,CR,Techs_4WD,,,,2034,,,,,,5.5668
TotalTechnologyAnnualActivityLowerLimit,BAU,CR,Techs_4WD,,,,2035,,,,,,5.5935
TotalTechnologyAnnualActivityLowerLimit,BAU,CR,Techs_4WD,,,,2036,,,,,,5.6247
TotalTechnologyAnnualActivityLowerLimit,BAU,CR,Techs_4WD,,,,2037,,,,,,5.6542
TotalTechnologyAnnualActivityLowerLimit,BAU,CR,Techs_4WD,,,,2038,,,,,,5.6854
TotalTechnologyAnnualActivityLowerLimit,BAU,CR,Techs_4WD,,,,2039,,,,,,5.7184
TotalTechnologyAnnualActivityLowerLimit,BAU,CR,Techs_4WD,,,,2040,,,,,,5.7461
TotalTechnologyAnnualActivityLowerLimit,BAU,CR,Techs_4WD,,,,2041,,,,,,5.7781
TotalTechnologyAnnualActivityLowerLimit,BAU,CR,Techs_4WD,,,,2042,,,,,,5.804
TotalTechnologyAnnualActivityLowerLimit,BAU,CR,Techs_4WD,,,,2043,,,,,,5.8352
TotalTechnologyAnnualActivityLowerLimit,BAU,CR,Techs_4WD,,,,2044,,,,,,5.87
TotalTechnologyAnnualActivityLowerLimit,BAU,CR,Techs_4WD,,,,2045,,,,,,5.903
TotalTechnologyAnnualActivityLowerLimit,BAU,CR,Techs_4WD,,,,2046,,,,,,5.9227
TotalTechnologyAnnualActivityLowerLimit,BAU,CR,Techs_4WD,,,,2047,,,,,,5.9539
TotalTechnologyAnnualActivityLowerLimit,BAU,CR,Techs_4WD,,,,2048,,,,,,5.9985
TotalTechnologyAnnualActivityLowerLimit,BAU,CR,Techs_4WD,,,,2049,,,,,,6.0163
TotalTechnologyAnnualActivityLowerLimit,BAU,CR,Techs_4WD,,,,2050,,,,,,6.0413
TotalTechnologyAnnualActivityLowerLimit,BAU,CR,Techs_Buses,,,,2015,,,,,,0.4679
TotalTechnologyAnnualActivityLowerLimit,BAU,CR,Techs_Buses,,,,2016,,,,,,0.4892
TotalTechnologyAnnualActivityLowerLimit,BAU,CR,Techs_Buses,,,,2017,,,,,,0.5045
TotalTechnologyAnnualActivityLowerLimit,BAU,CR,Techs_Buses,,,,2018,,,,,,0.5159
TotalTechnologyAnnualActivityLowerLimit,BAU,CR,Techs_Buses,,,,2019,,,,,,0.5282
TotalTechnologyAnnualActivityLowerLimit,BAU,CR,Techs_Buses,,,,2020,,,,,,0.5433
TotalTechnologyAnnualActivityLowerLimit,BAU,CR,Techs_Buses,,,,2021,,,,,,0.5682
TotalTechnologyAnnualActivityLowerLimit,BAU,CR,Techs_Buses,,,,2022,,,,,,0.5962
TotalTechnologyAnnualActivityLowerLimit,BAU,CR,Techs_Buses,,,,2023,,,,,,0.6254
TotalTechnologyAnnualActivityLowerLimit,BAU,CR,Techs_Buses,,,,2024,,,,,,0.6506
TotalTechnologyAnnualActivityLowerLimit,BAU,CR,Techs_Buses,,,,2025,,,,,,0.6787
TotalTechnologyAnnualActivityLowerLimit,BAU,CR,Techs_Buses,,,,2026,,,,,,0.7078
TotalTechnologyAnnualActivityLowerLimit,BAU,CR,Techs_Buses,,,,2027,,,,,,0.7333
TotalTechnologyAnnualActivityLowerLimit,BAU,CR,Techs_Buses,,,,2028,,,,,,0.759
TotalTechnologyAnnualActivityLowerLimit,BAU,CR,Techs_Buses,,,,2029,,,,,,0.7876
TotalTechnologyAnnualActivityLowerLimit,BAU,CR,Techs_Buses,,,,2030,,,,,,0.816
TotalTechnologyAnnualActivityLowerLimit,BAU,CR,Techs_Buses,,,,2031,,,,,,0.8443
TotalTechnologyAnnualActivityLowerLimit,BAU,CR,Techs_Buses,,,,2032,,,,,,0.8698
TotalTechnologyAnnualActivityLowerLimit,BAU,CR,Techs_Buses,,,,2033,,,,,,0.8988
