PARAMETER,Scenario,REGION,TECHNOLOGY,FUEL,EMISSION,MODE_OF_OPERATION,YEAR,TIMESLICE,SEASON,DAYTYPE,DAILYTIMEBRACKET,STORAGE,Value
TotalTechnologyModelPeriodActivityUpperLimit,BAU,CR,BACKSTOP_PS,,,,,,,,,,0
TotalTechnologyModelPeriodActivityUpperLimit,BAU,CR,BACKSTOP_TS,,,,,,,,,,99999
TotalTechnologyModelPeriodActivityUpperLimit,BAU,CR,DBIO_El,,,,,,,,,,99999
TotalTechnologyModelPeriodActivityUpperLimit,BAU,CR,DDSL_El,,,,,,,,,,99999
TotalTechnologyModelPeriodActivityUpperLimit,BAU,CR,DDSL_HF,,,,,,,,,,99999
TotalTechnologyModelPeriodActivityUpperLimit,BAU,CR,DDSL_LF,,,,,,,,,,99999
TotalTechnologyModelPeriodActivityUpperLimit,BAU,CR,DDSL_Pr,,,,,,,,,,99999
TotalTechnologyModelPeriodActivityUpperLimit,BAU,CR,DDSL_Pu,,,,,,,,,,99999
TotalTechnologyModelPeriodActivityUpperLimit,BAU,CR,DELE_HF,,,,,,,,,,99999
TotalTechnologyModelPeriodActivityUpperLimit,BAU,CR,DELE_LF,,,,,,,,,,99999
TotalTechnologyModelPeriodActivityUpperLimit,BAU,CR,DELE_Pr,,,,,,,,,,99999
TotalTechnologyModelPeriodActivityUpperLimit,BAU,CR,DELE_Pu,,,,,,,,,,99999
TotalTechnologyModelPeriodActivityUpperLimit,BAU,CR,DGSL_LF,,,,,,,,,,99999
TotalTechnologyModelPeriodActivityUpperLimit,BAU,CR,DGSL_Pr,,,,,,,,,,99999
TotalTechnologyModelPeriodActivityUpperLimit,BAU,CR,DGSL_Pu,,,,,,,,,,99999
TotalTechnologyModelPeriodActivityUpperLimit,BAU,CR,DHYD_HF,,,,,,,,,,99999
TotalTechnologyModelPeriodActivityUpperLimit,BAU,CR,DHYD_Pu,,,,,,,,,,99999
TotalTechnologyModelPeriodActivityUpperLimit,BAU,CR,DIST_DSL,,,,,,,,,,99999
TotalTechnologyModelPeriodActivityUpperLimit,BAU,CR,DIST_FOI,,,,,,,,,,99999
TotalTechnologyModelPeriodActivityUpperLimit,BAU,CR,DIST_FWO,,,,,,,,,,99999
TotalTechnologyModelPeriodActivityUpperLimit,BAU,CR,DIST_GSL,,,,,,,,,,99999
TotalTechnologyModelPeriodActivityUpperLimit,BAU,CR,DIST_HYD,,,,,,,,,,99999
TotalTechnologyModelPeriodActivityUpperLimit,BAU,CR,DIST_JFUEL,,,,,,,,,,99999
TotalTechnologyModelPeriodActivityUpperLimit,BAU,CR,DIST_LPG,,,,,,,,,,99999
TotalTechnologyModelPeriodActivityUpperLimit,BAU,CR,DIST_NG,,,,,,,,,,99999
TotalTechnologyModelPeriodActivityUpperLimit,BAU,CR,DIST_PCO,,,,,,,,,,99999
TotalTechnologyModelPeriodActivityUpperLimit,BAU,CR,DLPG_HF,,,,,,,,,,99999
TotalTechnologyModelPeriodActivityUpperLimit,BAU,CR,DLPG_LF,,,,,,,,,,99999
TotalTechnologyModelPeriodActivityUpperLimit,BAU,CR,DLPG_Pr,,,,,,,,,,99999
TotalTechnologyModelPeriodActivityUpperLimit,BAU,CR,DLPG_Pu,,,,,,,,,,99999
TotalTechnologyModelPeriodActivityUpperLimit,BAU,CR,ESRNBIO,,,,,,,,,,99999
TotalTechnologyModelPeriodActivityUpperLimit,BAU,CR,ESRNGEO,,,,,,,,,,99999
TotalTechnologyModelPeriodActivityUpperLimit,BAU,CR,ESRNSUN,,,,,,,,,,99999
TotalTechnologyModelPeriodActivityUpperLimit,BAU,CR,ESRNWAT,,,,,,,,,,99999
TotalTechnologyModelPeriodActivityUpperLimit,BAU,CR,ESRNWND,,,,,,,,,,99999
TotalTechnologyModelPeriodActivityUpperLimit,BAU,CR,PPBIO001,,,,,,,,,,99999
TotalTechnologyModelPeriodActivityUpperLimit,BAU,CR,PPBIO002,,,,,,,,,,99999
TotalTechnologyModelPeriodActivityUpperLimit,BAU,CR,PPDSL001,,,,,,,,,,99999
TotalTechnologyModelPeriodActivityUpperLimit,BAU,CR,PPDSL002,,,,,,,,,,99999
TotalTechnologyModelPeriodActivityUpperLimit,BAU,CR,PPFOB001,,,,,,,,,,99999
TotalTechnologyModelPeriodActivityUpperLimit,BAU,CR,PPFOB002,,,,,,,,,,99999
TotalTechnologyModelPeriodActivityUpperLimit,BAU,CR,PPGEO001,,,,,,,,,,99999
TotalTechnologyModelPeriodActivityUpperLimit,BAU,CR,PPGEO002,,,,,,,,,,99999
TotalTechnologyModelPeriodActivityUpperLimit,BAU,CR,PPHDAM001,,,,,,,,,,99999
TotalTechnologyModelPeriodActivityUpperLimit,BAU,CR,PPHDAM002,,,,,,,,,,99999
TotalTechnologyModelPeriodActivityUpperLimit,BAU,CR,PPHROR001,,,,,,,,,,99999
TotalTechnologyModelPeriodActivityUpperLimit,BAU,CR,PPHROR002,,,,,,,,,,99999
TotalTechnologyModelPeriodActivityUpperLimit,BAU,CR,PPPVD002,,,,,,,,,,99999
TotalTechnologyModelPeriodActivityUpperLimit,BAU,CR,PPPVT001,,,,,,,,,,99999
TotalTechnologyModelPeriodActivityUpperLimit,BAU,CR,PPPVT002,,,,,,,,,,99999
TotalTechnologyModelPeriodActivityUpperLimit,BAU,CR,PPWND002,,,,,,,,,,99999
TotalTechnologyModelPeriodActivityUpperLimit,BAU,CR,PPWNT001,,,,,,,,,,99999
TotalTechnologyModelPeriodActivityUpperLimit,BAU,CR,PPWNT002,,,,,,,,,,99999
TotalTechnologyModelPeriodActivityUpperLimit,BAU,CR,PROD_HYD_CH4,,,,,,,,,,99999
TotalTechnologyModelPeriodActivityUpperLimit,BAU,CR,PROD_HYD_H20,,,,,,,,,,99999
TotalTechnologyModelPeriodActivityUpperLimit,BAU,CR,TDDIST01,,,,,,,,,,99999
