Run.ID,Fuel,Fuel.DESCRIPTION,Technology,Technology.DESCRIPTION,Emission,Emission.DESCRIPTION,Year,RateOfDemand,Demand,NumberOfNewTechnologyUnits,NewCapacity,AccumulatedNewCapacity,TotalCapacityAnnual,RateOfActivity,RateOfTotalActivity,TotalTechnologyAnnualActivity,TotalAnnualTechnologyActivityByMode,TotalTechnologyModelPeriodActivity,RateOfProductionByTechnologyByMode,RateOfProductionByTechnology,ProductionByTechnology,ProductionByTechnologyAnnual,RateOfProduction,Production,RateOfUseByTechnologyByMode,RateOfUseByTechnology,UseByTechnologyAnnual,UseByTechnology,UseAnnual,CapitalInvestment,DiscountedCapitalInvestment,SalvageValue,DiscountedSalvageValue,OperatingCost,DiscountedOperatingCost,AnnualVariableOperatingCost,AnnualFixedOperatingCost,TotalDiscountedCostByTechnology,TotalDiscountedCost,TotalCapacityInReserveMargin,DemandNeedingReserveMargin,TotalREProductionAnnual,RETotalProductionOfTargetFuelAnnual,AnnualTechnologyEmissionByMode,AnnualTechnologyEmission,AnnualTechnologyEmissionPenaltyByEmission,AnnualTechnologyEmissionsPenalty,DiscountedTechnologyEmissionsPenalty,AnnualEmissions,ModelPeriodEmissions
0,,,DDSL_HF,,,,2015,,,,14.9396,14.9396,14.9396,14.9396,14.9396,14.9396,14.9396,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
0,,,DDSL_HF,,,,2016,,,,15.4374,15.4374,15.4374,15.4374,15.4374,15.4374,15.4374,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
0,,,DDSL_HF,,,,2017,,,,15.7146,15.7146,15.7146,15.7146,15.7146,15.7146,15.7146,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
0,,,DDSL_HF,,,,2018,,,,15.9926,15.9926,15.9926,15.9926,15.9926,15.9926,15.9926,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
0,,,DDSL_HF,,,,2019,,,,16.2645,16.2645,16.2645,16.2645,16.2645,16.2645,16.2645,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
0,,,DDSL_HF,,,,2020,,,,16.5233,16.5233,16.5233,16.5233,16.5233,16.5233,16.5233,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
0,,,DDSL_HF,,,,2021,,,,16.7829,16.7829,16.7829,16.7829,16.7829,16.7829,16.7829,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
0,,,DDSL_HF,,,,2022,,,,17.0363,17.0363,17.0363,17.0363,17.0363,17.0363,17.0363,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
0,,,DDSL_HF,,,,2023,,,,17.2768,17.2768,17.2768,17.2768,17.2768,17.2768,17.2768,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
0,,,DDSL_HF,,,,2024,,,,17.5179,17.5179,17.5179,17.5179,17.5179,17.5179,17.5179,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
0,,,DDSL_HF,,,,2025,,,,17.7529,17.7529,17.7529,17.7529,17.7529,17.7529,17.7529,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
0,,,DDSL_HF,,,,2026,,,,17.9752,17.9752,17.9752,17.9752,17.9752,17.9752,17.9752,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
0,,,DDSL_HF,,,,2027,,,,18.1978,18.1978,18.1978,18.1978,18.1978,18.1978,18.1978,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
0,,,DDSL_HF,,,,2028,,,,18.4142,18.4142,18.4142,18.4142,18.4142,18.4142,18.4142,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
0,,,DDSL_HF,,,,2029,,,,18.6181,18.6181,18.6181,18.6181,18.6181,18.6181,18.6181,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
0,,,DDSL_HF,,,,2030,,,,18.8223,18.8223,18.8223,18.8223,18.8223,18.8223,18.8223,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
0,,,DDSL_HF,,,,2031,,,,19.0203,19.0203,19.0203,19.0203,19.0203,19.0203,19.0203,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
0,,,DDSL_HF,,,,2032,,,,19.1866,19.1866,19.1866,19.1866,19.1866,19.1866,19.1866,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
0,,,DDSL_HF,,,,2033,,,,19.3718,19.3718,19.3718,19.3718,19.3718,19.3718,19.3718,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
