Strategy1,Year1,Technology1,Sum of Total Technology Annual Activity Lower Limit
BAU,,Taxis,
BAU,2015,Taxis,0.5489
BAU,2016,Taxis,0.5734
BAU,2017,Taxis,0.5818
BAU,2018,Taxis,0.6063
BAU,2019,Taxis,0.6229
BAU,2020,Taxis,0.6317
BAU,2021,Taxis,0.6472
BAU,2022,Taxis,0.6641
BAU,2023,Taxis,0.6714
BAU,2024,Taxis,0.6879
BAU,2025,Taxis,0.7121
BAU,2026,Taxis,0.7198
BAU,2027,Taxis,0.7424
BAU,2028,Taxis,0.7515
BAU,2029,Taxis,0.7686
BAU,2030,Taxis,0.7908
BAU,2031,Taxis,0.7994
BAU,2032,Taxis,0.8086
BAU,2033,Taxis,0.824
BAU,2034,Taxis,0.841
BAU,2035,Taxis,0.8692
BAU,2036,Taxis,0.8782
BAU,2037,Taxis,0.888
BAU,2038,Taxis,0.9034
BAU,2039,Taxis,0.9202
BAU,2040,Taxis,0.9363
BAU,2041,Taxis,0.9509
BAU,2042,Taxis,0.961
BAU,2043,Taxis,0.9772
BAU,2044,Taxis,0.9984
BAU,2045,Taxis,1.0079
BAU,2046,Taxis,1.03
BAU,2047,Taxis,1.0339
BAU,2048,Taxis,1.0497
BAU,2049,Taxis,1.0714
BAU,2050,Taxis,1.0814
BAU,,Motorcycles,
BAU,2015,Motorcycles,2.4541
BAU,2016,Motorcycles,2.5833
BAU,2017,Motorcycles,2.667
BAU,2018,Motorcycles,2.7497
BAU,2019,Motorcycles,2.8042
BAU,2020,Motorcycles,2.9011
BAU,2021,Motorcycles,2.9812
BAU,2022,Motorcycles,3.0361
BAU,2023,Motorcycles,3.1374
BAU,2024,Motorcycles,3.2198
BAU,2025,Motorcycles,3.2611
BAU,2026,Motorcycles,3.3713
BAU,2027,Motorcycles,3.4482
BAU,2028,Motorcycles,3.5026
BAU,2029,Motorcycles,3.6111
BAU,2030,Motorcycles,3.6902
BAU,2031,Motorcycles,3.729
BAU,2032,Motorcycles,3.8425
BAU,2033,Motorcycles,3.9229
BAU,2034,Motorcycles,4.001
BAU,2035,Motorcycles,4.0827
BAU,2036,Motorcycles,4.1632
BAU,2037,Motorcycles,4.2424
BAU,2038,Motorcycles,4.3219
BAU,2039,Motorcycles,4.3915
BAU,2040,Motorcycles,4.4692
BAU,2041,Motorcycles,4.5172
BAU,2042,Motorcycles,4.6306
BAU,2043,Motorcycles,4.7112
BAU,2044,Motorcycles,4.7553
BAU,2045,Motorcycles,4.8238
BAU,2046,Motorcycles,4.9403
BAU,2047,Motorcycles,5.0209
BAU,2048,Motorcycles,5.097
BAU,2049,Motorcycles,5.1812
BAU,2050,Motorcycles,5.262
BAU,,Minivan,
BAU,2015,Minivan,0
BAU,2016,Minivan,0.0173
BAU,2017,Minivan,0.052
BAU,2018,Minivan,0.0824
BAU,2019,Minivan,0.1215
BAU,2020,Minivan,0.1604
BAU,2021,Minivan,0.2036
BAU,2022,Minivan,0.2488
BAU,2023,Minivan,0.3083
BAU,2024,Minivan,0.3474
BAU,2025,Minivan,0.3971
BAU,2026,Minivan,0.453
BAU,2027,Minivan,0.5051
BAU,2028,Minivan,0.5348
BAU,2029,Minivan,0.5944
BAU,2030,Minivan,0.6559
BAU,2031,Minivan,0.6985
BAU,2032,Minivan,0.7307
BAU,2033,Minivan,0.7799
BAU,2034,Minivan,0.8295
BAU,2035,Minivan,0.8809
BAU,2036,Minivan,0.8988
BAU,2037,Minivan,0.9164
BAU,2038,Minivan,0.9342
BAU,2039,Minivan,0.9525
BAU,2040,Minivan,0.9699
BAU,2041,Minivan,0.9891
BAU,2042,Minivan,0.9999
BAU,2043,Minivan,1.0179
BAU,2044,Minivan,1.0366
BAU,2045,Minivan,1.055
BAU,2046,Minivan,1.0722
BAU,2047,Minivan,1.0903
BAU,2048,Minivan,1.1009
BAU,2049,Minivan,1.1197
BAU,2050,Minivan,1.1378
BAU,,Minbus,
BAU,2015,Minbus,0.3694
BAU,2016,Minbus,0.3809
BAU,2017,Minbus,0.3868
BAU,2018,Minbus,0.3984
BAU,2019,Minbus,0.4102
BAU,2020,Minbus,0.4165
BAU,2021,Minbus,0.4319
BAU,2022,Minbus,0.44
BAU,2023,Minbus,0.4482
BAU,2024,Minbus,0.4627
BAU,2025,Minbus,0.4698
BAU,2026,Minbus,0.4781
BAU,2027,Minbus,0.4908
BAU,2028,Minbus,0.5049
BAU,2029,Minbus,0.5125
BAU,2030,Minbus,0.5202
BAU,2031,Minbus,0.5298
BAU,2032,Minbus,0.5434
BAU,2033,Minbus,0.5511
BAU,2034,Minbus,0.5599
BAU,2035,Minbus,0.5713
BAU,2036,Minbus,0.5846
BAU,2037,Minbus,0.5928
BAU,2038,Minbus,0.6015
BAU,2039,Minbus,0.6095
BAU,2040,Minbus,0.6231
BAU,2041,Minbus,0.6323
BAU,2042,Minbus,0.6406
BAU,2043,Minbus,0.6491
BAU,2044,Minbus,0.6655
BAU,2045,Minbus,0.6742
BAU,2046,Minbus,0.682
BAU,2047,Minbus,0.6909
BAU,2048,Minbus,0.7049
BAU,2049,Minbus,0.7133
BAU,2050,Minbus,0.7216
BAU,,Light Duty,
BAU,2015,Light Duty,9.9284
BAU,2016,Light Duty,10.4227
BAU,2017,Light Duty,10.6972
BAU,2018,Light Duty,10.9676
BAU,2019,Light Duty,11.2407
BAU,2020,Light Duty,11.482
BAU,2021,Light Duty,11.719
BAU,2022,Light Duty,11.9997
