Strategy1,Year,Technology1,Total Technology Annual Activity Lower Limit
BAU,,Trucks,
BAU,2020,Trucks,1.8113
BAU,2021,Trucks,1.8535
BAU,2018,Trucks,1.8685
BAU,2019,Trucks,1.908
BAU,2022,Trucks,1.9006
BAU,2023,Trucks,1.9536
BAU,2024,Trucks,2.0131
BAU,2025,Trucks,2.0744
BAU,2026,Trucks,2.1376
BAU,2027,Trucks,2.2027
BAU,2028,Trucks,2.2697
BAU,2029,Trucks,2.3388
BAU,2030,Trucks,2.4101
BAU,2031,Trucks,2.4834
BAU,2032,Trucks,2.5591
BAU,2033,Trucks,2.637
BAU,2034,Trucks,2.7173
BAU,2035,Trucks,2.8
BAU,2036,Trucks,2.8853
BAU,2037,Trucks,2.9731
BAU,2038,Trucks,3.0637
BAU,2039,Trucks,3.157
BAU,2040,Trucks,3.2531
BAU,2041,Trucks,3.3522
BAU,2042,Trucks,3.4542
BAU,2043,Trucks,3.5594
BAU,2044,Trucks,3.6678
BAU,2045,Trucks,3.7795
BAU,2046,Trucks,3.8946
BAU,2047,Trucks,4.0131
BAU,2048,Trucks,4.1353
BAU,2049,Trucks,4.2613
BAU,2050,Trucks,4.391
BAU,,Taxis,
BAU,2020,Taxis,0.4222
BAU,2021,Taxis,0.4804
BAU,2018,Taxis,0.5519
BAU,2019,Taxis,0.5627
BAU,2022,Taxis,0.5645
BAU,2023,Taxis,0.5787
BAU,2024,Taxis,0.5946
BAU,2025,Taxis,0.6108
BAU,2026,Taxis,0.6274
BAU,2027,Taxis,0.6442
BAU,2028,Taxis,0.6615
BAU,2029,Taxis,0.679
BAU,2030,Taxis,0.6969
BAU,2031,Taxis,0.7151
BAU,2032,Taxis,0.7336
BAU,2033,Taxis,0.7525
BAU,2034,Taxis,0.7718
BAU,2035,Taxis,0.7914
BAU,2036,Taxis,0.8113
BAU,2037,Taxis,0.8316
BAU,2038,Taxis,0.8522
BAU,2039,Taxis,0.8732
BAU,2040,Taxis,0.8945
BAU,2041,Taxis,0.9161
BAU,2042,Taxis,0.9382
BAU,2043,Taxis,0.9605
BAU,2044,Taxis,0.9832
BAU,2045,Taxis,1.0063
BAU,2046,Taxis,1.0297
BAU,2047,Taxis,1.0535
BAU,2048,Taxis,1.0776
BAU,2049,Taxis,1.102
BAU,2050,Taxis,1.1268
BAU,,Motorcycles,
BAU,2020,Motorcycles,2.5021
BAU,2021,Motorcycles,2.8469
BAU,2018,Motorcycles,3.2712
BAU,2019,Motorcycles,3.3346
BAU,2022,Motorcycles,3.3451
BAU,2023,Motorcycles,3.4294
BAU,2024,Motorcycles,3.5236
BAU,2025,Motorcycles,3.6198
BAU,2026,Motorcycles,3.7179
BAU,2027,Motorcycles,3.8179
BAU,2028,Motorcycles,3.9199
BAU,2029,Motorcycles,4.0239
BAU,2030,Motorcycles,4.1298
BAU,2031,Motorcycles,4.2377
BAU,2032,Motorcycles,4.3477
BAU,2033,Motorcycles,4.4597
BAU,2034,Motorcycles,4.5737
BAU,2035,Motorcycles,4.6897
BAU,2036,Motorcycles,4.8078
BAU,2037,Motorcycles,4.928
BAU,2038,Motorcycles,5.0502
BAU,2039,Motorcycles,5.1745
BAU,2040,Motorcycles,5.3008
BAU,2041,Motorcycles,5.4292
BAU,2042,Motorcycles,5.5597
BAU,2043,Motorcycles,5.6922
BAU,2044,Motorcycles,5.8269
BAU,2045,Motorcycles,5.9635
BAU,2046,Motorcycles,6.1023
BAU,2047,Motorcycles,6.2431
BAU,2048,Motorcycles,6.3859
BAU,2049,Motorcycles,6.5309
BAU,2050,Motorcycles,6.6778
BAU,,Minibus,
BAU,2020,Minibus,0.3062
BAU,2021,Minibus,0.3484
BAU,2018,Minibus,0.4004
BAU,2019,Minibus,0.4081
BAU,2022,Minibus,0.4094
BAU,2023,Minibus,0.4197
BAU,2024,Minibus,0.4312
BAU,2025,Minibus,0.443
BAU,2026,Minibus,0.455
BAU,2027,Minibus,0.4672
BAU,2028,Minibus,0.4797
BAU,2029,Minibus,0.4924
BAU,2030,Minibus,0.5054
BAU,2031,Minibus,0.5186
BAU,2032,Minibus,0.5321
