Year1,Technology1,Median Capacity Factor
,Wind Power Plant Transmission ,
2015,Wind Power Plant Transmission ,0.572
2016,Wind Power Plant Transmission ,0.572
2017,Wind Power Plant Transmission ,0.572
2018,Wind Power Plant Transmission ,0.572
2019,Wind Power Plant Transmission ,0.572
2020,Wind Power Plant Transmission ,0.572
2021,Wind Power Plant Transmission ,0.572
2022,Wind Power Plant Transmission ,0.572
2023,Wind Power Plant Transmission ,0.572
2024,Wind Power Plant Transmission ,0.572
2025,Wind Power Plant Transmission ,0.572
2026,Wind Power Plant Transmission ,0.572
2027,Wind Power Plant Transmission ,0.572
2028,Wind Power Plant Transmission ,0.572
2029,Wind Power Plant Transmission ,0.572
2030,Wind Power Plant Transmission ,0.572
2031,Wind Power Plant Transmission ,0.572
2032,Wind Power Plant Transmission ,0.572
2033,Wind Power Plant Transmission ,0.572
2034,Wind Power Plant Transmission ,0.572
2035,Wind Power Plant Transmission ,0.572
2036,Wind Power Plant Transmission ,0.572
2037,Wind Power Plant Transmission ,0.572
2038,Wind Power Plant Transmission ,0.572
2039,Wind Power Plant Transmission ,0.572
2040,Wind Power Plant Transmission ,0.572
2041,Wind Power Plant Transmission ,0.572
2042,Wind Power Plant Transmission ,0.572
2043,Wind Power Plant Transmission ,0.572
2044,Wind Power Plant Transmission ,0.572
2045,Wind Power Plant Transmission ,0.572
2046,Wind Power Plant Transmission ,0.572
2047,Wind Power Plant Transmission ,0.572
2048,Wind Power Plant Transmission ,0.572
2049,Wind Power Plant Transmission ,0.572
2050,Wind Power Plant Transmission ,0.572
,Photovoltaic Power Plant ,
2015,Photovoltaic Power Plant ,0.227
2016,Photovoltaic Power Plant ,0.227
2017,Photovoltaic Power Plant ,0.227
2018,Photovoltaic Power Plant ,0.227
2019,Photovoltaic Power Plant ,0.227
2020,Photovoltaic Power Plant ,0.227
2021,Photovoltaic Power Plant ,0.227
2022,Photovoltaic Power Plant ,0.227
2023,Photovoltaic Power Plant ,0.227
2024,Photovoltaic Power Plant ,0.227
2025,Photovoltaic Power Plant ,0.227
2026,Photovoltaic Power Plant ,0.227
2027,Photovoltaic Power Plant ,0.227
2028,Photovoltaic Power Plant ,0.227
2029,Photovoltaic Power Plant ,0.227
2030,Photovoltaic Power Plant ,0.227
2031,Photovoltaic Power Plant ,0.227
2032,Photovoltaic Power Plant ,0.227
2033,Photovoltaic Power Plant ,0.227
2034,Photovoltaic Power Plant ,0.227
2035,Photovoltaic Power Plant ,0.227
2036,Photovoltaic Power Plant ,0.227
2037,Photovoltaic Power Plant ,0.227
2038,Photovoltaic Power Plant ,0.227
