Year1,Sum of Capital Cost
,
2015,2350.33
2016,2350.33
2017,2216.95
2018,2083.57
2019,1977.02
2020,1869.69
2021,1803.39
2022,1736.31
2023,1682.64
2024,1629.76
2025,1589.51
2026,1549.26
2027,1509.01
2028,1469.55
2029,1429.3
2030,1389.05
2031,1385.89
2032,1382.73
2033,1378.79
2034,1375.63
2035,1372.47
2036,1369.31
2037,1365.37
2038,1362.21
2039,1359.05
2040,1355.9
2041,1352.74
2042,1348.79
2043,1345.64
2044,1342.48
2045,1339.32
2046,1335.38
2047,1332.22
2048,1329.06
2049,1325.91
2050,1321.96
