Fuel;Strategy;Year;SpecifiedAnnualDemand
Transport Demand Freigth Heavy;BAU;2015;20.87
Transport Demand Freigth Heavy;BAU;2016;21.73
Transport Demand Freigth Heavy;BAU;2017;22.29
Transport Demand Freigth Heavy;BAU;2018;22.86
Transport Demand Freigth Heavy;BAU;2019;23.43
Transport Demand Freigth Heavy;BAU;2020;23.99
Transport Demand Freigth Heavy;BAU;2021;24.56
Transport Demand Freigth Heavy;BAU;2022;25.13
Transport Demand Freigth Heavy;BAU;2023;25.69
Transport Demand Freigth Heavy;BAU;2024;26.26
Transport Demand Freigth Heavy;BAU;2025;26.83
Transport Demand Freigth Heavy;BAU;2026;27.39
Transport Demand Freigth Heavy;BAU;2027;27.96
Transport Demand Freigth Heavy;BAU;2028;28.53
Transport Demand Freigth Heavy;BAU;2029;29.09
Transport Demand Freigth Heavy;BAU;2030;29.66
Transport Demand Freigth Heavy;BAU;2031;30.23
Transport Demand Freigth Heavy;BAU;2032;30.79
Transport Demand Freigth Heavy;BAU;2033;31.36
Transport Demand Freigth Heavy;BAU;2034;31.93
Transport Demand Freigth Heavy;BAU;2035;32.49
Transport Demand Freigth Heavy;BAU;2036;33.06
Transport Demand Freigth Heavy;BAU;2037;33.63
Transport Demand Freigth Heavy;BAU;2038;34.19
Transport Demand Freigth Heavy;BAU;2039;34.76
Transport Demand Freigth Heavy;BAU;2040;35.33
Transport Demand Freigth Heavy;BAU;2041;35.89
Transport Demand Freigth Heavy;BAU;2042;36.46
Transport Demand Freigth Heavy;BAU;2043;37.03
Transport Demand Freigth Heavy;BAU;2044;37.59
Transport Demand Freigth Heavy;BAU;2045;38.16
Transport Demand Freigth Heavy;BAU;2046;38.73
Transport Demand Freigth Heavy;BAU;2047;39.29
Transport Demand Freigth Heavy;BAU;2048;39.86
Transport Demand Freigth Heavy;BAU;2049;40.43
Transport Demand Freigth Heavy;BAU;2050;40.99
Transport Demand Freigth Light;BAU;2015;6.1127
Transport Demand Freigth Light;BAU;2016;6.3777
Transport Demand Freigth Light;BAU;2017;6.5712
Transport Demand Freigth Light;BAU;2018;6.7646
Transport Demand Freigth Light;BAU;2019;6.951
Transport Demand Freigth Light;BAU;2020;7.1444
Transport Demand Freigth Light;BAU;2021;7.3378
Transport Demand Freigth Light;BAU;2022;7.5241
Transport Demand Freigth Light;BAU;2023;7.7176
Transport Demand Freigth Light;BAU;2024;7.9111
Transport Demand Freigth Light;BAU;2025;8.1045
Transport Demand Freigth Light;BAU;2026;8.2908
Transport Demand Freigth Light;BAU;2027;8.4843
Transport Demand Freigth Light;BAU;2028;8.6777
Transport Demand Freigth Light;BAU;2029;8.864
Transport Demand Freigth Light;BAU;2030;9.0575
Transport Demand Freigth Light;BAU;2031;9.2509
Transport Demand Freigth Light;BAU;2032;9.4372
Transport Demand Freigth Light;BAU;2033;9.6307
Transport Demand Freigth Light;BAU;2034;9.8242
Transport Demand Freigth Light;BAU;2035;10.0105
Transport Demand Freigth Light;BAU;2036;10.2039
Transport Demand Freigth Light;BAU;2037;10.3973
Transport Demand Freigth Light;BAU;2038;10.5908
Transport Demand Freigth Light;BAU;2039;10.7771
Transport Demand Freigth Light;BAU;2040;10.9706
Transport Demand Freigth Light;BAU;2041;11.164
Transport Demand Freigth Light;BAU;2042;11.3503
Transport Demand Freigth Light;BAU;2043;11.5438
Transport Demand Freigth Light;BAU;2044;11.7372
Transport Demand Freigth Light;BAU;2045;11.9235
Transport Demand Freigth Light;BAU;2046;12.1169
Transport Demand Freigth Light;BAU;2047;12.3104
Transport Demand Freigth Light;BAU;2048;12.4967
Transport Demand Freigth Light;BAU;2049;12.6902
Transport Demand Freigth Light;BAU;2050;12.8837
Transport Demand Freigth Heavy;SR20&SR15;2015;20.87
Transport Demand Freigth Heavy;SR20&SR15;2016;21.73
Transport Demand Freigth Heavy;SR20&SR15;2017;22.29
Transport Demand Freigth Heavy;SR20&SR15;2018;22.86
Transport Demand Freigth Heavy;SR20&SR15;2019;23.43
Transport Demand Freigth Heavy;SR20&SR15;2020;23.99
Transport Demand Freigth Heavy;SR20&SR15;2021;24.42003333
Transport Demand Freigth Heavy;SR20&SR15;2022;24.85006667
Transport Demand Freigth Heavy;SR20&SR15;2023;25.2801
Transport Demand Freigth Heavy;SR20&SR15;2024;25.71013333
Transport Demand Freigth Heavy;SR20&SR15;2025;26.14016667
Transport Demand Freigth Heavy;SR20&SR15;2026;26.5702
Transport Demand Freigth Heavy;SR20&SR15;2027;27.00023333
Transport Demand Freigth Heavy;SR20&SR15;2028;27.43026667
Transport Demand Freigth Heavy;SR20&SR15;2029;27.8603
Transport Demand Freigth Heavy;SR20&SR15;2030;28.29033333
Transport Demand Freigth Heavy;SR20&SR15;2031;28.72036667
