Strategy;Technology;Year;TotalTechnologyAnnualActivityLowerLimit
BAU;E_Light Duty Electric (new);2015;0.0015
BAU;E_Light Duty Electric (new);2016;0.0015
BAU;E_Light Duty Electric (new);2017;0.0015
BAU;E_Light Duty Electric (new);2018;0.0015
BAU;E_Light Duty Electric (new);2019;0.0015
BAU;E_Light Duty Electric (new);2020;0.018500835
BAU;E_Light Duty Electric (new);2021;0.037765423
BAU;E_Light Duty Electric (new);2022;0.058005001
BAU;E_Light Duty Electric (new);2023;0.078739891
BAU;E_Light Duty Electric (new);2024;0.100450256
BAU;E_Light Duty Electric (new);2025;0.122907937
BAU;E_Light Duty Electric (new);2026;0.146082642
BAU;E_Light Duty Electric (new);2027;0.169735901
BAU;E_Light Duty Electric (new);2028;0.194995938
BAU;E_Light Duty Electric (new);2029;0.220437406
BAU;E_Light Duty Electric (new);2030;0.24647618
BAU;E_Light Duty Electric (new);2031;0.274262237
BAU;E_Light Duty Electric (new);2032;0.302201206
BAU;E_Light Duty Electric (new);2033;0.330888458
BAU;E_Light Duty Electric (new);2034;0.360311908
BAU;E_Light Duty Electric (new);2035;0.390594821
BAU;E_Light Duty Electric (new);2036;0.422917788
BAU;E_Light Duty Electric (new);2037;0.456284549
BAU;E_Light Duty Electric (new);2038;0.490358828
BAU;E_Light Duty Electric (new);2039;0.525631906
BAU;E_Light Duty Electric (new);2040;0.561952968
BAU;E_Light Duty Electric (new);2041;0.599673275
BAU;E_Light Duty Electric (new);2042;0.637259683
BAU;E_Light Duty Electric (new);2043;0.6761232
BAU;E_Light Duty Electric (new);2044;0.716734161
BAU;E_Light Duty Electric (new);2045;0.757720231
BAU;E_Light Duty Electric (new);2046;0.798774942
BAU;E_Light Duty Electric (new);2047;0.841366179
BAU;E_Light Duty Electric (new);2048;0.884568739
BAU;E_Light Duty Electric (new);2049;0.929635563
BAU;E_Light Duty Electric (new);2050;0.9755235
SR20&SR15;E_Light Duty Electric (new);2015;0.0015
SR20&SR15;E_Light Duty Electric (new);2016;0.0015
SR20&SR15;E_Light Duty Electric (new);2017;0.0015
SR20&SR15;E_Light Duty Electric (new);2018;0.0015
SR20&SR15;E_Light Duty Electric (new);2019;0.0015
SR20&SR15;E_Light Duty Electric (new);2020;0.0015
SR20&SR15;E_Light Duty Electric (new);2021;0.231
SR20&SR15;E_Light Duty Electric (new);2022;0.462
SR20&SR15;E_Light Duty Electric (new);2023;0.6913
SR20&SR15;E_Light Duty Electric (new);2024;0.9224
SR20&SR15;E_Light Duty Electric (new);2025;1.1537
SR20&SR15;E_Light Duty Electric (new);2026;1.385
SR20&SR15;E_Light Duty Electric (new);2027;1.6145
SR20&SR15;E_Light Duty Electric (new);2028;1.8522
SR20&SR15;E_Light Duty Electric (new);2029;2.0851
SR20&SR15;E_Light Duty Electric (new);2030;2.3173
SR20&SR15;E_Light Duty Electric (new);2031;2.5593
SR20&SR15;E_Light Duty Electric (new);2032;2.7966
SR20&SR15;E_Light Duty Electric (new);2033;3.0348
SR20&SR15;E_Light Duty Electric (new);2034;3.2745
SR20&SR15;E_Light Duty Electric (new);2035;3.5155
SR20&SR15;E_Light Duty Electric (new);2036;4.0436
SR20&SR15;E_Light Duty Electric (new);2037;4.5781
SR20&SR15;E_Light Duty Electric (new);2038;5.1168
SR20&SR15;E_Light Duty Electric (new);2039;5.6624
SR20&SR15;E_Light Duty Electric (new);2040;6.2147
SR20&SR15;E_Light Duty Electric (new);2041;6.7777
SR20&SR15;E_Light Duty Electric (new);2042;7.3355
SR20&SR15;E_Light Duty Electric (new);2043;7.901
SR20&SR15;E_Light Duty Electric (new);2044;8.4814
SR20&SR15;E_Light Duty Electric (new);2045;9.0607
SR20&SR15;E_Light Duty Electric (new);2046;9.6339
SR20&SR15;E_Light Duty Electric (new);2047;10.2205
SR20&SR15;E_Light Duty Electric (new);2048;10.8085
SR20&SR15;E_Light Duty Electric (new);2049;11.4153
SR20&SR15;E_Light Duty Electric (new);2050;12.0241
