Strategy;Technology;Year;TotalTechnologyAnnualActivityLowerLimit
BAU;Bus;2015;0.4679
BAU;Bus;2016;0.4892
BAU;Bus;2017;0.5045
BAU;Bus;2018;0.5159
BAU;Bus;2019;0.5282
BAU;Bus;2020;0.5433
BAU;Bus;2021;0.5534
BAU;Bus;2022;0.567
BAU;Bus;2023;0.5812
BAU;Bus;2024;0.5922
BAU;Bus;2025;0.6058
BAU;Bus;2026;0.6199
BAU;Bus;2027;0.6309
BAU;Bus;2028;0.642
BAU;Bus;2029;0.6564
BAU;Bus;2030;0.6699
BAU;Bus;2031;0.6833
BAU;Bus;2032;0.6947
BAU;Bus;2033;0.7086
BAU;Bus;2034;0.7224
BAU;Bus;2035;0.7336
BAU;Bus;2036;0.7452
BAU;Bus;2037;0.7592
BAU;Bus;2038;0.7726
BAU;Bus;2039;0.7868
BAU;Bus;2040;0.7978
BAU;Bus;2041;0.811
BAU;Bus;2042;0.825
BAU;Bus;2043;0.839
BAU;Bus;2044;0.8482
BAU;Bus;2045;0.862
BAU;Bus;2046;0.8754
BAU;Bus;2047;0.8895
BAU;Bus;2048;0.9008
BAU;Bus;2049;0.9139
BAU;Bus;2050;0.9279
BAU;Light Duty;2015;9.9284
BAU;Light Duty;2016;10.4227
BAU;Light Duty;2017;10.6972
BAU;Light Duty;2018;10.9676
BAU;Light Duty;2019;11.2407
BAU;Light Duty;2020;11.482
BAU;Light Duty;2021;11.719
BAU;Light Duty;2022;11.9997
BAU;Light Duty;2023;12.2169
BAU;Light Duty;2024;12.4683
BAU;Light Duty;2025;12.7132
BAU;Light Duty;2026;12.9517
BAU;Light Duty;2027;13.1677
BAU;Light Duty;2028;13.4465
BAU;Light Duty;2029;13.6808
BAU;Light Duty;2030;13.9062
BAU;Light Duty;2031;14.1844
BAU;Light Duty;2032;14.4271
BAU;Light Duty;2033;14.6683
BAU;Light Duty;2034;14.9078
BAU;Light Duty;2035;15.1507
BAU;Light Duty;2036;15.4395
BAU;Light Duty;2037;15.7322
BAU;Light Duty;2038;16.0172
BAU;Light Duty;2039;16.3109
BAU;Light Duty;2040;16.6076
BAU;Light Duty;2041;16.9168
BAU;Light Duty;2042;17.1955
BAU;Light Duty;2043;17.484
BAU;Light Duty;2044;17.7928
BAU;Light Duty;2045;18.0868
BAU;Light Duty;2046;18.3606
BAU;Light Duty;2047;18.6489
BAU;Light Duty;2048;18.9304
BAU;Light Duty;2049;19.2317
BAU;Light Duty;2050;19.53
BAU;Minbus;2015;0.3694
BAU;Minbus;2016;0.3809
BAU;Minbus;2017;0.3868
BAU;Minbus;2018;0.3984
BAU;Minbus;2019;0.4102
BAU;Minbus;2020;0.4165
BAU;Minbus;2021;0.4319
BAU;Minbus;2022;0.44
BAU;Minbus;2023;0.4482
BAU;Minbus;2024;0.4627
BAU;Minbus;2025;0.4698
BAU;Minbus;2026;0.4781
BAU;Minbus;2027;0.4908
BAU;Minbus;2028;0.5049
BAU;Minbus;2029;0.5125
BAU;Minbus;2030;0.5202
BAU;Minbus;2031;0.5298
BAU;Minbus;2032;0.5434
BAU;Minbus;2033;0.5511
BAU;Minbus;2034;0.5599
BAU;Minbus;2035;0.5713
BAU;Minbus;2036;0.5846
BAU;Minbus;2037;0.5928
BAU;Minbus;2038;0.6015
BAU;Minbus;2039;0.6095
BAU;Minbus;2040;0.6231
BAU;Minbus;2041;0.6323
BAU;Minbus;2042;0.6406
BAU;Minbus;2043;0.6491
BAU;Minbus;2044;0.6655
BAU;Minbus;2045;0.6742
BAU;Minbus;2046;0.682
BAU;Minbus;2047;0.6909
BAU;Minbus;2048;0.7049
BAU;Minbus;2049;0.7133
BAU;Minbus;2050;0.7216
BAU;Minivan;2015;0
BAU;Minivan;2016;0.0173
BAU;Minivan;2017;0.052
BAU;Minivan;2018;0.0824
BAU;Minivan;2019;0.1215
BAU;Minivan;2020;0.1604
BAU;Minivan;2021;0.2036
BAU;Minivan;2022;0.2488
BAU;Minivan;2023;0.3083
BAU;Minivan;2024;0.3474
BAU;Minivan;2025;0.3971
BAU;Minivan;2026;0.453
BAU;Minivan;2027;0.5051
BAU;Minivan;2028;0.5348
BAU;Minivan;2029;0.5944
BAU;Minivan;2030;0.6559
BAU;Minivan;2031;0.6985
BAU;Minivan;2032;0.7307
BAU;Minivan;2033;0.7799
BAU;Minivan;2034;0.8295
BAU;Minivan;2035;0.8809
BAU;Minivan;2036;0.8988
BAU;Minivan;2037;0.9164
BAU;Minivan;2038;0.9342
BAU;Minivan;2039;0.9525
BAU;Minivan;2040;0.9699
BAU;Minivan;2041;0.9891
BAU;Minivan;2042;0.9999
BAU;Minivan;2043;1.0179
BAU;Minivan;2044;1.0366
BAU;Minivan;2045;1.055
BAU;Minivan;2046;1.0722
BAU;Minivan;2047;1.0903
BAU;Minivan;2048;1.1009
BAU;Minivan;2049;1.1197
BAU;Minivan;2050;1.1378
BAU;Motorcycles;2015;2.4541
BAU;Motorcycles;2016;2.5833
BAU;Motorcycles;2017;2.667
BAU;Motorcycles;2018;2.7497
BAU;Motorcycles;2019;2.8042
BAU;Motorcycles;2020;2.9011
BAU;Motorcycles;2021;2.9812
BAU;Motorcycles;2022;3.0361
BAU;Motorcycles;2023;3.1374
BAU;Motorcycles;2024;3.2198
BAU;Motorcycles;2025;3.2611
BAU;Motorcycles;2026;3.3713
BAU;Motorcycles;2027;3.4482
