Strategy1,Year1,Fuel1,Specified Annual Demand
BAU,2015,Transport Demand Freigth Light,6.1127
BAU,2016,Transport Demand Freigth Light,6.3777
BAU,2017,Transport Demand Freigth Light,6.5712
BAU,2018,Transport Demand Freigth Light,6.7646
BAU,2019,Transport Demand Freigth Light,6.951
BAU,2020,Transport Demand Freigth Light,7.1444
BAU,2021,Transport Demand Freigth Light,7.3378
BAU,2022,Transport Demand Freigth Light,7.5241
BAU,2023,Transport Demand Freigth Light,7.7176
BAU,2024,Transport Demand Freigth Light,7.9111
BAU,2025,Transport Demand Freigth Light,8.1045
BAU,2026,Transport Demand Freigth Light,8.2908
BAU,2027,Transport Demand Freigth Light,8.4843
BAU,2028,Transport Demand Freigth Light,8.6777
BAU,2029,Transport Demand Freigth Light,8.864
BAU,2030,Transport Demand Freigth Light,9.0575
BAU,2031,Transport Demand Freigth Light,9.2509
BAU,2032,Transport Demand Freigth Light,9.4372
BAU,2033,Transport Demand Freigth Light,9.6307
BAU,2034,Transport Demand Freigth Light,9.8242
BAU,2035,Transport Demand Freigth Light,10.0105
BAU,2036,Transport Demand Freigth Light,10.2039
BAU,2037,Transport Demand Freigth Light,10.3973
BAU,2038,Transport Demand Freigth Light,10.5908
BAU,2039,Transport Demand Freigth Light,10.7771
BAU,2040,Transport Demand Freigth Light,10.9706
BAU,2041,Transport Demand Freigth Light,11.164
BAU,2042,Transport Demand Freigth Light,11.3503
BAU,2043,Transport Demand Freigth Light,11.5438
BAU,2044,Transport Demand Freigth Light,11.7372
BAU,2045,Transport Demand Freigth Light,11.9235
BAU,2046,Transport Demand Freigth Light,12.1169
BAU,2047,Transport Demand Freigth Light,12.3104
BAU,2048,Transport Demand Freigth Light,12.4967
BAU,2049,Transport Demand Freigth Light,12.6902
BAU,2050,Transport Demand Freigth Light,12.8837
BAU,2015,Transport Demand Freigth Heavy,20.87
BAU,2016,Transport Demand Freigth Heavy,21.73
BAU,2017,Transport Demand Freigth Heavy,22.29
BAU,2018,Transport Demand Freigth Heavy,22.86
BAU,2019,Transport Demand Freigth Heavy,23.43
BAU,2020,Transport Demand Freigth Heavy,23.99
BAU,2021,Transport Demand Freigth Heavy,24.56
BAU,2022,Transport Demand Freigth Heavy,25.13
BAU,2023,Transport Demand Freigth Heavy,25.69
BAU,2024,Transport Demand Freigth Heavy,26.26
BAU,2025,Transport Demand Freigth Heavy,26.83
BAU,2026,Transport Demand Freigth Heavy,27.39
BAU,2027,Transport Demand Freigth Heavy,27.96
BAU,2028,Transport Demand Freigth Heavy,28.53
BAU,2029,Transport Demand Freigth Heavy,29.09
BAU,2030,Transport Demand Freigth Heavy,29.66
BAU,2031,Transport Demand Freigth Heavy,30.23
BAU,2032,Transport Demand Freigth Heavy,30.79
BAU,2033,Transport Demand Freigth Heavy,31.36
BAU,2034,Transport Demand Freigth Heavy,31.93
BAU,2035,Transport Demand Freigth Heavy,32.49
BAU,2036,Transport Demand Freigth Heavy,33.06
BAU,2037,Transport Demand Freigth Heavy,33.63
BAU,2038,Transport Demand Freigth Heavy,34.19
BAU,2039,Transport Demand Freigth Heavy,34.76
BAU,2040,Transport Demand Freigth Heavy,35.33
BAU,2041,Transport Demand Freigth Heavy,35.89
BAU,2042,Transport Demand Freigth Heavy,36.46
BAU,2043,Transport Demand Freigth Heavy,37.03
BAU,2044,Transport Demand Freigth Heavy,37.59
BAU,2045,Transport Demand Freigth Heavy,38.16
BAU,2046,Transport Demand Freigth Heavy,38.73
BAU,2047,Transport Demand Freigth Heavy,39.29
BAU,2048,Transport Demand Freigth Heavy,39.86
BAU,2049,Transport Demand Freigth Heavy,40.43
BAU,2050,Transport Demand Freigth Heavy,40.99
NDP,2015,Transport Demand Freigth Light,6.1127
NDP,2016,Transport Demand Freigth Light,6.3777
NDP,2017,Transport Demand Freigth Light,6.5712
NDP,2018,Transport Demand Freigth Light,6.7646
NDP,2019,Transport Demand Freigth Light,6.951
NDP,2020,Transport Demand Freigth Light,7.1444
NDP,2021,Transport Demand Freigth Light,7.3378
NDP,2022,Transport Demand Freigth Light,7.5241
