Strategy1,Year1,Sum of Total Technology Annual Activity Lower Limit
BAU,2015,9.9283
BAU,2016,10.4225
BAU,2017,10.697
BAU,2018,10.9675
BAU,2019,11.2404
BAU,2020,11.498800835
BAU,2021,11.755065423
BAU,2022,12.056005001
BAU,2023,12.294039891
BAU,2024,12.567050256
BAU,2025,12.834407937
BAU,2026,13.096082642
BAU,2027,13.335835901
BAU,2028,13.639795938
BAU,2029,13.899537406
BAU,2030,14.15087618
BAU,2031,14.456962237
BAU,2032,14.727601206
BAU,2033,14.263988458
BAU,2034,13.775711908
BAU,2035,13.268594821
BAU,2036,13.546417788
BAU,2037,13.828584549
BAU,2038,14.104858828
BAU,2039,14.389731906
BAU,2040,14.678352968
BAU,2041,14.978873275
BAU,2042,15.253359683
BAU,2043,15.5374232
BAU,2044,15.840534161
BAU,2045,16.131420231
BAU,2046,16.405174942
BAU,2047,16.692866179
BAU,2048,16.975268739
BAU,2049,17.276435563
BAU,2050,17.5759235
NDP,2015,9.9268
NDP,2016,10.421
NDP,2017,10.6955
NDP,2018,10.966
NDP,2019,11.2389
NDP,2020,11.4803
NDP,2021,8.0312
NDP,2022,7.4825
NDP,2023,6.9991
NDP,2024,6.477
NDP,2025,5.9705
NDP,2026,5.4935
NDP,2027,5.0431
NDP,2028,4.6664
NDP,2029,4.3417
NDP,2030,4.1042
NDP,2031,3.9934
NDP,2032,4.0023
NDP,2033,4.149
NDP,2034,4.4235
NDP,2035,4.7953
NDP,2036,5.8152
NDP,2037,6.8387
NDP,2038,7.8195
NDP,2039,8.7352
NDP,2040,9.5714
NDP,2041,10.3203
NDP,2042,10.9564
NDP,2043,11.5128
NDP,2044,12.0087
NDP,2045,12.428
NDP,2046,12.784
NDP,2047,13.1067
NDP,2048,13.3968
NDP,2049,13.6749
NDP,2050,13.936
