Strategy1,Year1,Sum of Total Technology Annual Activity Lower Limit
BAU,2015,0
BAU,2016,0.0182
BAU,2017,0.0374
BAU,2018,0.0576
BAU,2019,0.0787
BAU,2020,0.1005
BAU,2021,0.1231
BAU,2022,0.1471
BAU,2023,0.1711
BAU,2024,0.1965
BAU,2025,0.2226
BAU,2026,0.2494
BAU,2027,0.2767
BAU,2028,0.3061
BAU,2029,0.3354
BAU,2030,0.3652
BAU,2031,0.3974
BAU,2032,0.4295
BAU,2033,0.4366
BAU,2034,0.4438
BAU,2035,0.451
BAU,2036,0.4596
BAU,2037,0.4683
BAU,2038,0.4768
BAU,2039,0.4855
BAU,2040,0.4944
BAU,2041,0.5036
BAU,2042,0.5119
BAU,2043,0.5205
BAU,2044,0.5297
BAU,2045,0.5384
BAU,2046,0.5466
BAU,2047,0.5552
BAU,2048,0.5635
BAU,2049,0.5725
BAU,2050,0.5814
NDP,2015,0
NDP,2016,0.0182
NDP,2017,0.0374
NDP,2018,0.0576
NDP,2019,0.0787
NDP,2020,0.1005
NDP,2021,0
NDP,2022,0
NDP,2023,0
NDP,2024,0
NDP,2025,0
NDP,2026,0
NDP,2027,0
NDP,2028,0
NDP,2029,0
NDP,2030,0
NDP,2031,0
NDP,2032,0
NDP,2033,0
NDP,2034,0
NDP,2035,0
NDP,2036,0
NDP,2037,0
NDP,2038,0
NDP,2039,0
NDP,2040,0
NDP,2041,0
NDP,2042,0
NDP,2043,0
NDP,2044,0
NDP,2045,0
NDP,2046,0
NDP,2047,0
NDP,2048,0
NDP,2049,0
NDP,2050,0
