Strategy1,Year1,Technology1,Sum of Total Technology Annual Activity Lower Limit
BAU,,Light Duty Electric (new),
BAU,2015,Light Duty Electric (new),0.0015
BAU,2016,Light Duty Electric (new),0.0015
BAU,2017,Light Duty Electric (new),0.0015
BAU,2018,Light Duty Electric (new),0.0015
BAU,2019,Light Duty Electric (new),0.0015
BAU,2020,Light Duty Electric (new),0.018500835
BAU,2021,Light Duty Electric (new),0.037765423
BAU,2022,Light Duty Electric (new),0.058005001
BAU,2023,Light Duty Electric (new),0.078739891
BAU,2024,Light Duty Electric (new),0.100450256
BAU,2025,Light Duty Electric (new),0.122907937
BAU,2026,Light Duty Electric (new),0.146082642
BAU,2027,Light Duty Electric (new),0.169735901
BAU,2028,Light Duty Electric (new),0.194995938
BAU,2029,Light Duty Electric (new),0.220437406
BAU,2030,Light Duty Electric (new),0.24647618
BAU,2031,Light Duty Electric (new),0.274262237
BAU,2032,Light Duty Electric (new),0.302201206
BAU,2033,Light Duty Electric (new),0.330888458
BAU,2034,Light Duty Electric (new),0.360311908
BAU,2035,Light Duty Electric (new),0.390594821
BAU,2036,Light Duty Electric (new),0.422917788
BAU,2037,Light Duty Electric (new),0.456284549
BAU,2038,Light Duty Electric (new),0.490358828
BAU,2039,Light Duty Electric (new),0.525631906
BAU,2040,Light Duty Electric (new),0.561952968
BAU,2041,Light Duty Electric (new),0.599673275
BAU,2042,Light Duty Electric (new),0.637259683
BAU,2043,Light Duty Electric (new),0.6761232
BAU,2044,Light Duty Electric (new),0.716734161
BAU,2045,Light Duty Electric (new),0.757720231
BAU,2046,Light Duty Electric (new),0.798774942
BAU,2047,Light Duty Electric (new),0.841366179
BAU,2048,Light Duty Electric (new),0.884568739
BAU,2049,Light Duty Electric (new),0.929635563
BAU,2050,Light Duty Electric (new),0.9755235
NDP,,Light Duty Electric (new),
NDP,2015,Light Duty Electric (new),0
NDP,2016,Light Duty Electric (new),0
NDP,2017,Light Duty Electric (new),0
NDP,2018,Light Duty Electric (new),0
NDP,2019,Light Duty Electric (new),0
NDP,2020,Light Duty Electric (new),0
NDP,2021,Light Duty Electric (new),0
NDP,2022,Light Duty Electric (new),0
NDP,2023,Light Duty Electric (new),0.1023
NDP,2024,Light Duty Electric (new),0.1471
NDP,2025,Light Duty Electric (new),0.2109
NDP,2026,Light Duty Electric (new),0.3069
NDP,2027,Light Duty Electric (new),0.436
NDP,2028,Light Duty Electric (new),0.6194
NDP,2029,Light Duty Electric (new),0.8705
NDP,2030,Light Duty Electric (new),1.2111
NDP,2031,Light Duty Electric (new),1.6697
NDP,2032,Light Duty Electric (new),2.2569
NDP,2033,Light Duty Electric (new),2.9839
NDP,2034,Light Duty Electric (new),3.8406
NDP,2035,Light Duty Electric (new),4.7953
NDP,2036,Light Duty Electric (new),5.8152
NDP,2037,Light Duty Electric (new),6.8387
NDP,2038,Light Duty Electric (new),7.8195
NDP,2039,Light Duty Electric (new),8.7352
NDP,2040,Light Duty Electric (new),9.5714
NDP,2041,Light Duty Electric (new),10.3203
NDP,2042,Light Duty Electric (new),10.9564
NDP,2043,Light Duty Electric (new),11.5128
NDP,2044,Light Duty Electric (new),12.0087
NDP,2045,Light Duty Electric (new),12.428
NDP,2046,Light Duty Electric (new),12.784
NDP,2047,Light Duty Electric (new),13.1067
NDP,2048,Light Duty Electric (new),13.3968
NDP,2049,Light Duty Electric (new),13.6749
NDP,2050,Light Duty Electric (new),13.936
